"Row.names","attribute_sample_group","filename","mapp_sample_id","sample_id","sample_type","source_taxon","source_taxon_qid","strain","1","10","100","101","102","103","104","105","106","107","108","109","11","110","111","112","113","114","115","116","117","118","119","12","120","121","122","123","124","125","126","127","128","129","13","130","131","132","133","134","135","136","137","138","139","14","140","141","142","143","144","145","146","147","148","149","15","150","151","152","153","154","155","156","157","158","159","16","160","161","162","163","164","165","166","167","168","169","17","170","171","172","173","174","175","176","177","178","179","18","180","181","182","183","184","185","186","187","188","189","19","190","191","192","193","194","195","196","197","198","199","2","20","200","201","202","203","204","205","206","207","208","209","21","210","211","212","213","214","215","216","217","218","219","22","220","221","222","223","224","225","226","227","228","229","23","230","231","232","233","234","235","236","237","238","239","24","240","241","242","243","244","245","246","247","248","249","25","250","251","252","253","254","255","256","257","258","259","26","260","261","262","263","264","265","266","267","268","269","27","270","271","272","273","274","275","276","277","278","279","28","280","281","282","283","284","285","286","287","288","289","29","290","291","292","293","294","295","296","297","298","299","3","30","300","301","302","303","304","305","306","307","308","309","31","310","311","312","313","314","315","316","317","318","319","32","320","321","322","323","324","325","326","327","328","329","33","330","331","332","333","334","335","336","337","338","339","34","340","341","342","343","344","345","346","347","348","349","35","350","351","352","353","354","355","356","357","358","359","36","360","361","362","363","364","365","366","367","368","369","37","370","371","372","373","374","375","376","377","378","379","38","380","381","382","383","384","385","386","387","388","389","39","390","391","392","393","394","395","396","397","398","399","4","40","400","401","402","403","404","405","406","407","408","409","41","410","411","412","413","414","415","416","417","418","419","42","420","421","422","423","424","425","426","427","428","429","43","430","431","432","433","434","435","436","437","438","439","44","440","441","442","443","444","445","446","447","448","449","45","450","451","452","453","454","455","456","457","458","459","46","460","461","462","463","464","465","466","467","468","469","47","470","471","472","473","474","475","476","477","478","479","48","480","481","482","483","484","485","486","487","488","489","49","490","491","492","493","494","495","496","497","498","499","5","50","500","501","502","503","504","505","506","507","508","509","51","510","511","512","513","514","515","516","517","518","519","52","520","521","522","523","524","525","526","527","528","529","53","54","55","56","57","58","59","6","60","61","62","63","64","65","66","67","68","69","7","70","71","72","73","74","75","76","77","78","79","8","80","81","82","83","84","85","86","87","88","89","9","90","91","92","93","94","95","96","97","98","99"
"20240710_CVOL_mapp_01_82_001.mzML","WT","20240710_CVOL_mapp_01_82_001.mzML","mapp_01_82_001","WT_1","sample","Saccharomyces cerevisiae","Q719725","BY4742",50046.992,83158.14,14653819,760116.75,97835.21,216391.4,26664758,50046.992,50046.992,1158785.6,1531318.8,50046.992,190168.97,1636466.8,1317126.9,4000907.2,750282.2,598418.1,783979.2,156903.17,50046.992,1068819.6,847101.7,50046.992,1598015.2,562041.5,155381.8,456103.2,28243140,188105.69,630015.3,96203.06,1387617.1,268806.88,167020.4,340820.66,5977669.5,424464.62,659762,719620.7,14635710,1023561.25,1626837.4,600830,339104.1,263843.38,9691298,522246.75,1039584.06,50046.992,50046.992,50046.992,473971.75,50046.992,278687.03,422002.12,1743379.5,860614.25,355933.3,1167663.5,3479685.5,28447870,2610307,988341.9,535363.3,7161790,2228343.2,50046.992,372965.56,517712.78,699258.7,2082453.9,3595614.8,664244.2,872194.1,3505892.2,144848.22,50046.992,50046.992,50046.992,50046.992,50046.992,50046.992,259646.52,50046.992,50046.992,50046.992,1135627.5,50046.992,50046.992,50046.992,50046.992,24201082,50046.992,50046.992,50046.992,50046.992,203131.6,172679.48,428124.47,50046.992,164836.72,2046385.9,50046.992,106833.664,71381.53,485292.22,638679.3,50046.992,197955.36,183566.77,61441.59,246989.27,50046.992,50046.992,50046.992,50046.992,50046.992,50046.992,50046.992,209155.12,50046.992,273130.9,50046.992,50046.992,148465.47,50046.992,169164.02,365396.88,165103.31,485844.72,50046.992,50046.992,50046.992,629129.06,50046.992,50046.992,410549.56,180769.44,50046.992,63737.88,66002.11,481064.62,404947.88,472258.2,50046.992,4522931,221368.62,246565.78,129900.69,237910.03,1681351.9,257912.92,430485,198754.38,329130.75,191169.97,50046.992,156977.67,127053.6,50046.992,50046.992,177464.62,1636763.4,431013.38,220914.52,50046.992,412843.8,232803.97,283677.62,2700026.8,50046.992,705543.4,1051086.8,1607993.8,169783.55,212965.95,94378.04,19931966,613085,354620.38,1679288.9,172100.53,112131.26,462579.38,1201168,50046.992,50046.992,50046.992,50046.992,730839.6,50046.992,50046.992,342419.3,50046.992,156923.38,230914.64,288540.16,3473805.5,62491.223,50046.992,54561.113,50046.992,224073.84,246042.03,472172.22,484238.88,362032.5,347592.53,50046.992,161938.03,50046.992,50046.992,663968.44,186205.14,65432.7,1733216.2,90855.82,189150.47,213377.16,171249.77,50046.992,136172.89,1071383,69943.945,50046.992,50046.992,50046.992,137002.61,50046.992,1346448.2,50046.992,50046.992,205380.77,34988304,1180670.9,112286.195,50046.992,1981451.5,225147.42,341049.25,2249974.5,2981546.8,1060913.9,169191.44,202003.67,1354784.4,144539.66,899611.8,319229.22,4139348,470525.34,1162930.4,58268.793,50046.992,50046.992,249163.95,400572.62,228190.77,805497,131748.94,155593.62,463825.06,225238.28,346417.84,186711.05,786596.25,50046.992,444473.03,505328.47,1075292.2,200220.75,722493.25,264111.25,3544189.5,269896.4,341429.62,3384740.5,2178795,162700.6,711130.44,222125.72,718012.3,1536077.2,138616.25,545700.06,243758.28,191586.33,249565.7,50046.992,256459.06,332164.9,171173.94,390169.44,1036463.4,1019789.1,617248.4,380007.97,254511.33,992165.3,50046.992,156638.53,348696.7,214165.95,322474.75,314058.25,299697.06,50046.992,749242.5,4588134.5,350862,50046.992,14782327,1465536,204196.42,234281.34,268847.6,4030536.5,235340.39,783605.56,781232.8,4105425.5,193886.2,209877.88,402422.9,496504.34,206425.7,208690.4,3066837,475840.12,2453842.8,207353.39,50046.992,449247.62,718027.44,3816951.2,282152,198702.14,7215064,958757.1,210174.5,331771.88,320261.06,334877.62,447890.2,50046.992,225611.44,580563.56,185056.86,243414.45,802860.6,286505.28,1160064.5,507167,133697.64,196261.53,3144897.5,161375.69,212069.67,249368.7,310757.47,255415.86,213667.67,88073.9,550370.4,257091.88,174215.17,2805007,236013.31,235060.88,100246.91,50046.992,188173.5,526679.3,1092656.8,280475.72,432323.38,226906.9,548611.94,602332.5,289731.7,250716.27,288857.66,253713.81,357496.4,103405.72,112882.33,398992.47,212591.72,436905.97,2557369,195480,237478.22,332314.8,83778.5,299129.84,267829.8,1129107.5,263921.66,50046.992,480782.38,310698.6,94695.02,202152.39,298977.97,242674.03,252618.77,383962.72,377202.25,234278.8,177610.83,1688612,801365.7,766493.1,641446,50046.992,2501132.5,50046.992,50046.992,152689.94,50046.992,77674.2,9443856,123585.805,50046.992,191249.08,771009.6,122540.55,242336.02,148032.83,1176494.4,50046.992,50046.992,1027733.1,63352.94,213760.61,50046.992,216949.4,153599.94,50046.992,237662.98,509027.22,50046.992,164924.72,68789.66,1814612.4,2281192.8,50046.992,50046.992,2259710.8,6315897,208679.86,61906.324,825970.6,123330,50046.992,577227.44,50046.992,50046.992,50046.992,50046.992,230195.84,103941.37,476730.3,50046.992,50046.992,50046.992,2251319,592960.6,1719967,50046.992,50046.992,50046.992,50046.992,50046.992,50046.992,1054781.2,225852.69,480723.6,1066900.8,1639383,531990.4,525414.9,281422.25,1562866.5,62479.67,3750020.8,2364378.8,1138960.8,568484.25,50046.992,50046.992,50046.992,3698422.2,7210055.5,469143.22,50046.992,4596293,50046.992,50046.992,5432582.5,1555114,50046.992,1426923.5,2315914,3160039.5,1416785.1,198859.12,51392230,309889.5,50046.992,50046.992,782769.6,50046.992,673062.9,50046.992,5042376,50046.992,683902.5,1113278,1072244.5,1033113.5,667691,50046.992,975179.44,370357.8,2677793.2,50046.992,10213598
"20240710_CVOL_mapp_01_82_002.mzML","WT","20240710_CVOL_mapp_01_82_002.mzML","mapp_01_82_002","WT_2","sample","Saccharomyces cerevisiae","Q719725","BY4742",235533.83,180204.52,20453266,1518989.6,56661.125,299943.34,34600344,50046.992,50046.992,2209136.2,2223621.2,50046.992,335627.6,1936262.2,2330539,5667033.5,1224439.5,1119735.6,1068831.9,249602.77,8493753,1467065,1254427.5,50046.992,50046.992,1126459.1,217012.52,506537.53,36255944,489172.12,50046.992,62828.824,605323.4,50046.992,320022.47,619886.6,10096640,1077006,1011413.5,1381882.1,27133380,1876188.5,2649935,696220.06,752068.8,536460,15656064,1008353.2,1777972.8,50046.992,50046.992,50046.992,780728.1,50046.992,589162.06,503555.56,2804669.8,1585275.5,640146.3,1801321,5389338,53366936,4304526,1155755.4,760457.56,6484420.5,2405949.8,50046.992,352983.72,766521.1,1406865,2281675.5,5025544.5,1097786.5,1318564.6,4022885.2,392050.6,755709.44,50046.992,50046.992,50046.992,7798893.5,637739.7,259074.2,914711.6,50046.992,50046.992,468987.03,50046.992,50046.992,357876.25,50046.992,24294282,1230194.2,1284683.9,50046.992,50046.992,399940.66,245996.67,753925.6,50046.992,346091.88,50046.992,8117196.5,310618,233713.11,50046.992,50046.992,50046.992,50046.992,247608.78,168754.33,50046.992,50046.992,50046.992,50046.992,50046.992,110896.63,206635.06,50046.992,396595.06,50046.992,420283.94,50046.992,50046.992,112501.945,136497.53,399080.06,323147.22,178300.12,50046.992,50046.992,50046.992,50046.992,1066502.1,50046.992,301428.03,631400.2,132077.23,671858.75,116713.62,97209.27,785978.7,805918.4,787883.06,50046.992,7932185.5,483348.1,614609.9,245537.9,379038.25,2877764.5,311262.8,777244,378858.03,488291.6,404228.12,50046.992,597792.94,341531.66,50046.992,50046.992,334979.97,3000078.5,633827.4,223566.38,50046.992,847474.25,379932.25,368094.8,3250852.2,50046.992,921174.25,1273574,1941838.9,248370.3,169307.73,50046.992,38119316,669235.44,346067.88,1871145.4,368643.8,202953.38,285340.12,768983.44,135790.7,50046.992,50046.992,50046.992,559825.25,77083.78,50046.992,388643.78,50046.992,127931.92,170140.06,250295.38,2891579.5,55808.12,50046.992,50046.992,50046.992,317245.78,457998.12,436776.2,431950.2,304425.8,281895.88,50046.992,248261.45,50046.992,50046.992,150887.48,50046.992,198825.31,549896.75,242993.64,193239.84,210415.14,180371.39,50046.992,419446.84,2032088.5,226141.55,196707.81,50046.992,50046.992,97127.984,50046.992,1286813.6,50046.992,50046.992,210655.89,67958950,1188707.1,84424.5,57226.035,1950648.1,205788.81,306112.34,2176950.8,2557952.8,1041328.44,136278.89,359865.4,50046.992,50046.992,92539.984,135884.53,77564.8,50046.992,50046.992,50046.992,50046.992,50046.992,484845.66,269375.53,239421.16,781035.44,50046.992,63796.625,434697.28,224154.84,362398.1,207065.95,272028.97,1689292.8,440896.7,497241.88,1082320.5,202748.52,244162.9,50046.992,1293292.5,266879.56,298180.06,3461692.8,3203614,100950.6,738753.2,209346.31,381472.66,644226.9,67484.05,225978.75,232995.56,214061.27,102852.7,50046.992,50046.992,134678.69,107655.04,398319.2,1088508.5,1091503.4,636882.8,114394.58,62343.227,988369.5,50046.992,60823.957,149174.72,64887.29,182464.53,140614.77,286397.22,50046.992,726523.7,1880712,110348.05,50046.992,6244553,1134764,50046.992,212542.7,108439.47,1975913.1,50046.992,228232.47,193908.64,1573191.6,50046.992,77023.76,378495.53,161606.12,50046.992,58494.094,1168159.5,66693.99,843880.8,50046.992,50046.992,1303251.6,964269.2,1338843.8,73508.945,244314.11,2221829.5,361889.38,76919.63,122079.695,108959.35,350167.72,449030.44,50046.992,245411.95,157097.08,50046.992,301089.56,875037.3,224316.31,1126441.4,476337.6,121304.38,78392.234,5499915,154536.98,196816.7,244980.2,160705.22,251755.83,201798.84,50046.992,73568.21,50046.992,50046.992,4653633.5,50046.992,50046.992,50046.992,50046.992,98497.15,279950.78,724027,242338.81,50046.992,171109.62,833977.5,320471.78,139700.22,216264.06,127319.266,111043.71,200262.52,112795.7,133123.58,95900.8,208999.92,701754.56,2327649.5,121512.445,50046.992,225949.9,68161.93,64195.895,50046.992,204359.44,89886.96,94950.516,749348.8,192057.78,55881.492,50046.992,50046.992,50046.992,50046.992,61504.676,59409.01,62822.05,50046.992,2346782.2,104602.164,180445.72,128685.305,50046.992,439459.16,50046.992,50046.992,50046.992,50046.992,88309.195,15465323,164387.8,50046.992,50046.992,136105.7,50046.992,50046.992,75503.54,108408.41,50046.992,50046.992,1592503.6,50046.992,50046.992,50046.992,91584.17,50046.992,50046.992,228180.17,91079.2,216874,127538.67,214078.44,2449199.5,854899,50046.992,50046.992,305845.72,1942227.9,257767.64,99912.88,191160.23,50046.992,50046.992,682388.4,50046.992,50046.992,50046.992,50046.992,50046.992,109702.38,50046.992,50046.992,50046.992,50046.992,2496268.8,415352.1,1487004.4,50046.992,50046.992,50046.992,50046.992,50046.992,50046.992,915160.4,196142.97,475863.38,999924.3,2383524.8,700050.3,494691.7,222485.02,1613146.9,186382.7,3569924.2,2238032,1775064.1,741985.1,50046.992,50046.992,50046.992,5523615,13014995,747911.7,183995.16,6356706,50046.992,50046.992,7144069,2056717.9,50046.992,1768520.6,3507784.8,4724913,1868386.2,773555,97794280,593504.56,58441.66,50046.992,1117020.9,292323.16,1176903,50046.992,8041337.5,50046.992,1607800,2012739,1581308.1,1520571.9,839481.25,50046.992,1522778.8,465267.44,4174709,50046.992,14092358
"20240710_CVOL_mapp_01_82_003.mzML","WT","20240710_CVOL_mapp_01_82_003.mzML","mapp_01_82_003","WT_3","sample","Saccharomyces cerevisiae","Q719725","BY4742",200482.92,163468.08,18284652,1294817.8,66100.84,274778.03,30732048,50046.992,50046.992,1803787.5,2023677,65590.63,283738,1687319.1,1983112.5,4477045,1171673.8,946651.56,1120974,289098.3,6637860.5,1414946.8,1143140.1,50046.992,2189364.8,757092.9,191844.1,488115.88,34199776,420154.22,50046.992,87666.23,1084114.4,209932.6,205585.48,388763.94,8115828.5,697600,775588.8,871887.2,20048422,1419740.2,2091981.2,639277.6,449960.3,393609.62,11460176,824174.2,1185292,50046.992,50046.992,50046.992,702695.44,50046.992,463475.7,625086.94,2601175.8,1183527.2,490416.5,1533141.2,4546226,42356236,4174686.8,1278232.5,756670.8,7609768.5,2818691.2,50046.992,457181.94,50046.992,951041.5,2305731.2,4393284.5,846318.4,1093895.4,3986437.5,245483.03,731572.9,50046.992,50046.992,50046.992,7990004.5,50046.992,234689.2,926357.94,50046.992,50046.992,731117.8,50046.992,50046.992,50046.992,50046.992,25147458,1206537,50046.992,50046.992,50046.992,431751.6,340016.25,499540.44,50046.992,291324.88,50046.992,50046.992,227988.02,173081.89,50046.992,50046.992,50046.992,316313.44,227312.66,157313.77,429142.88,50046.992,50046.992,526887.3,50046.992,92971.016,50046.992,50046.992,311941.56,50046.992,385410.4,50046.992,50046.992,109806.875,135570.98,326336.72,311289.78,173181.75,50046.992,50046.992,50046.992,50046.992,50046.992,50046.992,50046.992,430929.03,183772.67,398726.62,91464.74,89569.875,642827.3,418556.4,672592.25,89405.94,6281601.5,274932.9,370432.5,160394.3,322893.88,2400793,362167.2,481399.6,190842.75,477799.56,298588.84,50046.992,350697.84,50046.992,50046.992,50046.992,195477.03,2033486.4,645511.6,217093.45,50046.992,598218.25,296443.1,310063.16,3228473.8,50046.992,789843.75,1235494.2,1896674.8,142927.2,129445.72,50046.992,30896320,315175.25,251591.11,910907,232769.81,179383.56,99146.31,246120.81,80388.8,50046.992,57470.242,50046.992,321061.03,50046.992,50046.992,274317.4,50046.992,134099.78,196630.2,202971.77,2848986.8,62788.562,50046.992,72252.84,50046.992,205015.1,383406.3,442536.94,454305.53,262669.38,316845.16,50046.992,148205.83,50046.992,50046.992,119693.01,50046.992,50046.992,293643.9,90864.94,184880.47,198257.61,175159.33,50046.992,363340.34,1711058.2,66414.31,50046.992,50046.992,50046.992,94993.875,50046.992,1210856.4,50046.992,50046.992,138870.5,53472670,909542.4,84530.99,62551.703,1848767.6,204331.75,336330,1720256.4,2043071,797846.6,124596.67,323222.9,50046.992,50046.992,50046.992,217304.1,50046.992,50046.992,50046.992,50046.992,50046.992,50046.992,396295.72,376467.28,189610.86,705006.1,50046.992,53099.32,332836.12,194470.81,255838.38,150681.98,449283.44,1616805.9,356876.84,400623.56,815279,212775.12,340780.66,50046.992,2254172.5,258787.4,370678.44,3365801.5,2999611.5,125497.35,719573.1,205226,635201.1,930457.75,84164.19,283383.7,246147.84,183709.8,115662.36,50046.992,105571.516,229415.31,194855.4,388701.34,1014021.3,985105.06,577300.9,148173.03,2226580.2,966224.06,50046.992,96564.31,271689.44,50046.992,206215.84,197454.31,282920.5,50046.992,731031.9,2755628,187058.36,50046.992,10177977,1367093.2,211001.83,274599.66,167551.39,2761237.5,113181.96,412250.22,360263.8,2182975.2,50046.992,102274.27,497725.94,309942.03,50046.992,106003.98,1852140.8,177605.56,1204003.2,50046.992,50046.992,1101822.2,942789.06,2307806.8,148412.08,233950.08,4637955,722022.3,91211.2,193353.88,220229.84,324309.34,419358.56,50046.992,209640.11,275178.5,70069.56,169555.78,669621.9,216836.5,1048510.2,469471.2,121356.48,104108.51,4210541,251901.7,220937.25,234514.95,225536.7,253458.1,184557.25,50046.992,91080.12,50046.992,50046.992,4217493,50046.992,50046.992,50046.992,50046.992,111279.37,331573.88,552512.44,168607.39,50046.992,119860.016,883064.9,296788.3,203733.62,135734.48,195804.12,123868.72,203004.58,154658.88,181501.81,128356.36,200086.39,559953.7,2561668.5,50046.992,50046.992,50046.992,270927.03,100483.46,83592.66,382002.44,158278.72,50046.992,602029.6,50046.992,50046.992,50046.992,50046.992,50046.992,56770.473,80260.3,82218.97,95278.17,54959.863,2213073.5,247671.89,207422.55,225514.86,254915.3,1012236.4,50046.992,947669.44,50046.992,50046.992,148530.44,12683701,254061.48,50046.992,60664.19,262587.4,50046.992,102884.45,50046.992,95643.37,50046.992,50046.992,1488851.8,74618.914,53202.207,50046.992,93408.57,50046.992,50046.992,50046.992,198187.11,50046.992,181338.92,184438.72,2113142.8,1199162.5,50046.992,50046.992,496585.2,2551664.8,196682.69,154377.58,309243.78,50046.992,50046.992,821939.5,50046.992,50046.992,50046.992,50046.992,50046.992,203570.86,50046.992,50046.992,50046.992,50046.992,2758367.2,447962.3,1521150.9,50046.992,50046.992,50046.992,50046.992,50046.992,50046.992,1003475.1,233011.45,592280.56,1100484.5,2011310.9,662096.9,497573.03,50046.992,1847664.4,158167.02,3765673.5,2497761.8,1630725.8,642899,50046.992,50046.992,50046.992,4780104,10462555,633047.75,158518.11,5614846,50046.992,50046.992,6186881.5,2049526.8,50046.992,1429742.2,2814962,3659365.5,1529960.6,533480.9,70325090,450306.78,50046.992,50046.992,825991,50046.992,849003.25,50046.992,6373406,50046.992,1265453,1590919.6,1574147.1,1216446,927742.06,50046.992,1279214.1,423920.88,3881387.8,50046.992,12559413
"20240710_CVOL_mapp_01_82_004.mzML","WT","20240710_CVOL_mapp_01_82_004.mzML","mapp_01_82_004","WT_4","sample","Saccharomyces cerevisiae","Q719725","BY4742",123224.55,108721.945,11808525,590463.8,131832.1,176359.75,20578982,1172951,50046.992,925267.25,1448346.5,50046.992,252433.95,1315840.5,1305751,2890600.2,506482.22,497161.2,1061690.1,160500.42,3470318.8,850362.25,769041.56,50046.992,1303135.2,432050.75,200642.48,541234.9,23764642,223006.03,50046.992,89892.625,1274117.9,293783.06,120561.08,304148.78,4829622.5,334941.25,454975.12,473805.84,11580409,877118.75,1179310.1,445828.3,237479.58,207649.31,7018315.5,468144.9,753893.1,50046.992,50046.992,50046.992,430062.78,50046.992,232053.17,358002.1,1770972.9,744655.25,332752.75,1078570.9,3156026.2,21556318,1956227.8,933358.8,490525.88,7115859,2223192.2,50046.992,372685.22,50046.992,474021.38,2057683.4,50046.992,496883.84,568302.8,50046.992,120250.61,50046.992,50046.992,50046.992,50046.992,50046.992,50046.992,219735,50046.992,443938.53,50046.992,50046.992,50046.992,50046.992,50046.992,50046.992,21712760,50046.992,720732.75,312153.06,50046.992,131198.97,224400.83,386435.34,50046.992,104570.69,2432697.2,50046.992,100770.46,50046.992,356453.75,437942.34,50046.992,175980.95,147741.44,103859.53,313597.22,50046.992,50046.992,299297.9,50046.992,52306.598,50046.992,50046.992,203760.27,50046.992,312693.2,50046.992,1680355,187124.6,82854.57,193927.88,487359.12,194668.06,401563.78,50046.992,711075.8,50046.992,512023.44,156550.81,175498.34,341532.75,238445.05,292770.66,50046.992,50046.992,362429.78,50046.992,351065.75,50046.992,3351450.8,133118.61,164263.16,92656.67,165412.92,1216573.8,229199.05,268271.03,107928.89,244308.44,187023.3,50046.992,127638.38,134135.95,50046.992,50046.992,190797.11,1839649.6,674198.8,175125.44,50046.992,324745.3,197633.81,212459.08,2288671.2,50046.992,573604.3,833014.8,1285726.1,91952.81,185111.81,50046.992,16312628,490744.16,423142.6,1487800.1,122613.28,86617.836,247789.14,624325.75,81346.875,50046.992,50046.992,50046.992,410421.88,71667.61,50046.992,344420.84,50046.992,165910.47,265564.88,260628.77,3605676.8,50046.992,50046.992,60520.133,50046.992,228054.75,203458.2,488783.62,488349.94,318368.97,385021.44,50046.992,157303.08,50046.992,50046.992,218410.06,169549.27,50046.992,874561.9,50046.992,172264.89,173012.28,164857.02,50046.992,194450.08,936335.5,55637.6,50046.992,50046.992,50046.992,149461.27,50046.992,1151378.8,50046.992,50046.992,130752.63,27965338,811157.6,107971.01,50046.992,1815059.1,203934.02,312612.94,1583314.1,2182152.5,743675.3,158874.56,50046.992,174804.38,111666.414,238078.64,383507.38,374092.38,126350.68,199885.17,54431.945,50046.992,50046.992,194164.16,407157.38,190359.47,708817.94,50046.992,71200.2,358765.56,183601.58,232200.02,139955.75,1097542,50046.992,367791,400929.84,828772.6,203385.1,786016.9,50046.992,7308692,257928.98,329576.12,3432766.2,1979615.4,225385.39,709395.1,243294.77,994434.06,3580937.2,415553.38,1158016.2,239000.64,190020.06,313397.6,50046.992,426603.5,343921.4,332326.5,375316.72,979008.1,944646.25,542032.94,652810.56,75603.79,990604.9,50046.992,233321.66,474822.53,437014.53,340898.66,330947.4,283981.4,50046.992,695426.94,5773120.5,469820.12,50046.992,20324996,1610204.8,217412.67,248908.48,327808.2,5065143,365586.8,1275720,1036185.06,5592268,50046.992,240553.95,486120.4,663474.44,230307.03,247593.84,3611865.2,449768.34,2262265.8,222076.36,50046.992,668494.44,633751.75,4680293.5,346326.5,192260.31,10989484,1206845.4,237991.88,506226.72,499825.4,311094.97,439308.66,50046.992,239664.72,498035.47,258885.77,208990.08,664133.9,386752.28,1257941.1,541739,132844.8,233797.14,2617211.8,236498.25,225204.88,295991.9,308110.28,267280.3,196253.9,66318.61,450514.1,217564.52,202571.34,2835912,185222.17,477131.84,84072.36,210546.23,277593.9,813064.25,1408685.4,355131.44,96195.84,260363.55,604934.6,729188.94,441180.38,346032.84,140067.28,105983.02,213492.78,178554.69,192007.53,451125.3,212177.12,317173.72,2510903,78364.65,392134.6,182575.12,51746.598,503334.84,271232.4,1117104,242818.03,50046.992,325848.38,167181.97,84006.29,383497.88,174489.3,123648.28,238553.84,368801.5,374110.84,359708.44,239074.44,1560299,1120723.6,1261958,775495.1,50046.992,4141253.8,50046.992,50046.992,234188.7,215198.3,92117.836,8038253.5,146226.67,50046.992,168434.89,753316.75,101810.38,236900.34,50046.992,538458.8,50046.992,50046.992,1037494.06,216118.88,50046.992,50046.992,457207.88,50046.992,50046.992,50046.992,882975.94,50046.992,159642.45,92149.34,1468418.5,3312574.2,50046.992,50046.992,2351953.8,7144568.5,231427.66,90636.086,1354561.6,254615.12,50046.992,630128.4,50046.992,50046.992,50046.992,50046.992,50046.992,176337.62,50046.992,50046.992,223538.83,50046.992,2313364.2,747627.1,1530075.5,216813.05,50046.992,50046.992,50046.992,50046.992,50046.992,1040180.9,250975.78,502030.53,935671.94,1340891.9,439035.66,403584.1,216241.27,1432318,104996.695,3287753,2009799.6,1180875.8,490394.47,50046.992,50046.992,50046.992,3219551.8,6576557.5,409868.75,89255.63,3896427,50046.992,50046.992,4459318.5,1516776.1,50046.992,1188958,2067840.5,2678934,1103389,287831.62,45210492,308549,50046.992,50046.992,730459,50046.992,729044.94,50046.992,3994561.5,50046.992,772369.1,1014235.9,1144365.5,791643.75,716514.4,50046.992,719299.4,330185.7,2214001.8,50046.992,8161853.5
