CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
3	377	-49.979	0.000	0.7467	0.3477	1
3	557	-15.995	0.000	0.7080	0.4431	1
6	24	28.031	0.000	0.7222	0.4181	1
10	17	14.016	0.000	0.7086	0.4173	1
10	38	42.047	0.000	0.7322	0.5100	1
12	171	-22.032	0.000	0.7638	0.4819	1
17	38	28.031	0.000	0.9608	0.6188	1
17	60	2.016	0.000	0.8837	0.6703	1
17	74	56.063	0.000	0.9474	0.6483	1
18	19	18.011	0.000	0.8372	0.3666	1
18	224	-42.011	0.000	0.7345	0.2894	1
18	315	9.000	0.000	0.7541	0.2669	1
18	419	-27.036	0.000	0.7182	0.3325	1
18	431	6.948	0.000	0.7764	0.2513	1
18	461	8.964	0.000	0.7220	0.2332	1
18	567	8.964	0.000	0.7047	0.2341	1
18	752	9.000	0.000	0.7280	0.2522	1
18	833	-17.027	0.000	0.7555	0.3215	1
18	845	8.963	0.000	0.7469	0.2653	1
18	848	-17.027	0.000	0.7315	0.2992	1
22	25	2.015	0.000	0.8927	0.3381	1
22	26	25.013	0.000	0.9495	0.5239	1
22	27	26.018	0.000	0.8814	0.3019	1
22	28	28.031	0.000	0.9629	0.6239	1
22	35	53.044	0.000	0.9598	0.5479	1
22	36	54.048	0.000	0.9682	0.5344	1
22	37	56.062	0.000	0.9556	0.5973	1
22	40	82.077	0.000	0.9641	0.5560	1
22	53	108.095	0.000	0.7568	0.2497	1
22	55	110.110	0.000	0.9628	0.5588	1
22	157	264.245	0.000	0.9596	0.5917	1
22	164	266.261	0.000	0.8190	0.5502	1
22	166	263.242	0.000	0.7918	0.4881	1
22	177	292.276	0.000	0.8379	0.5539	1
22	181	289.258	0.000	0.7924	0.5607	1
22	182	290.262	0.000	0.8267	0.5619	1
22	196	318.293	0.000	0.7840	0.5382	1
22	842	428.415	0.000	0.9173	0.5495	1
22	855	378.408	0.000	0.9127	0.5158	1
22	867	419.461	0.000	0.8914	0.6054	1
25	26	22.998	0.000	0.8985	0.4357	1
25	27	24.002	0.000	0.8238	0.3357	1
25	28	26.016	0.000	0.8718	0.3995	1
25	35	51.029	0.000	0.8810	0.4062	1
25	36	52.033	0.000	0.8793	0.3550	1
25	37	54.047	0.000	0.8643	0.3534	1
25	40	80.062	0.000	0.8914	0.4389	1
25	53	106.080	0.000	0.8012	0.4102	1
25	55	108.095	0.000	0.8881	0.3668	1
25	157	262.230	0.000	0.8659	0.3498	1
25	164	264.246	0.000	0.7652	0.3648	1
25	166	261.227	0.000	0.7317	0.3366	1
25	177	290.261	0.000	0.7586	0.3161	1
25	181	287.243	0.000	0.7261	0.3142	1
25	182	288.247	0.000	0.7495	0.3211	1
25	196	316.277	0.000	0.7207	0.3237	1
25	842	426.400	0.000	0.8436	0.3330	1
25	855	376.392	0.000	0.8403	0.3158	1
25	867	417.446	0.000	0.8133	0.3289	1
26	27	1.005	0.000	0.8864	0.4217	1
26	28	3.018	0.000	0.9384	0.6337	1
26	35	28.031	0.000	0.9471	0.6170	1
26	36	29.035	0.000	0.9479	0.5634	1
26	37	31.049	0.000	0.9282	0.5790	1
26	40	57.064	0.000	0.9424	0.5837	1
26	53	83.082	0.000	0.8223	0.4321	1
26	55	85.097	0.000	0.9209	0.4406	1
26	157	239.232	0.000	0.9302	0.5215	1
26	164	241.248	0.000	0.7933	0.5383	1
26	166	238.229	0.000	0.7808	0.5060	1
26	177	267.263	0.000	0.8124	0.5029	1
26	181	264.245	0.000	0.7869	0.5372	1
