cluster index	parent mass	RTMean	ATTRIBUTE_sample_group:GNPSGROUP:WT	ATTRIBUTE_sample_group:GNPSGROUP:sDelta	ATTRIBUTE_sample_group:GNPSGROUP:pDelta	ATTRIBUTE_sample_group:GNPSGROUP:psDelta	ATTRIBUTE_sample_group:GNPSGROUP:blank	ATTRIBUTE_sample_group:GNPSGROUP:qc
1	218.98365075084195	0.411397	139810.325	12935.289	46478.85125	0.0	101797.484	305972.3014285714
2	216.9507190178962	0.41185388	122842.305	0.0	60980.41875	0.0	1308096.0	204550.72285714286
3	265.01563896759586	0.4134636	278352.53750000003	19806.54875	128438.02750000001	122619.768	239741.75	591619.2742857143
4	241.9995919981127	0.4136186	880703.965	183332.3915	414180.44	401147.62666666665	644140.2	1702497.5999999999
5	200.973157649136	0.4141958	139864.04	0.0	56596.2325	68064.92933333333	110318.65	308957.8085714285
6	239.9666781944844	0.41588113	128006.52125	30418.12	64913.15	20238.54333333333	1875722.8	254307.62142857144
7	198.94021633797504	0.4187065	107942.225	25643.6825	57610.7125	20716.729333333333	1251494.8	235025.70571428575
8	223.9889654070403	0.4232889	448431.66000000003	74277.436	204747.105	190085.06333333335	359996.97	1092643.28
9	151.0352914627232	0.4247144	1082381.15	414145.525	699159.45	643947.2866666666	1426817.8	2084148.0285714285
10	125.98647213258629	0.42576903	133888.17125	117940.71	128314.33350000001	76682.43533333333	3193076.5	238376.47999999998
11	301.0731611274596	0.42861518	265492.13	46510.205	160146.5575	131271.93333333332	0.0	406150.73000000004
12	283.06246699115854	0.42882633	0.0	0.0	44908.835	0.0	0.0	166106.6
13	151.94976366331156	0.42971095	203297.35749999998	94322.0665	237385.545	110724.51199999999	93712.24	384568.24000000005
14	149.95286117830986	0.43005347	350390.5775	164402.7675	399900.09	199929.78666666665	171288.7	660804.7614285714
15	215.0877412403581	0.43442538	2230049.5	862305.9625000001	1519281.7375	1783015.9333333333	0.0	3302862.457142857
16	255.94411349746136	0.43484733	0.0	0.0	0.0	0.0	1122344.9	0.0
17	328.89781556341364	0.43484733	0.0	0.0	0.0	0.0	605100.6	0.0
18	344.87541339420534	0.43484733	0.0	0.0	0.0	0.0	769808.9	0.0
19	458.8558131891104	0.43484733	0.0	0.0	0.0	0.0	343194.6	0.0
20	231.0652172793976	0.43502492	247432.3425	208773.0625	287148.2125	236595.04666666666	0.0	453991.6385714286
21	214.91766848145608	0.435732	0.0	16435.89	21458.51	0.0	3689008.2	0.0
22	315.1876795122976	0.43948635	551913.65	129121.3925	283244.89	425177.76	0.0	1292097.357142857
23	131.08392354935486	0.4419091	22351.485	0.0	22839.1975	0.0	0.0	78986.94999999998
24	147.12248405734303	0.44207144	270252.5575	0.0	155624.29125	145550.42666666667	0.0	372215.7514285714
25	133.0972959043498	0.4462771	545820.4	144256.29499999998	354282.115	363828.01	0.0	901395.5657142858
26	130.08646019119018	0.44680312	26315057.5	7246877.0	15220911.125	16718841.0	0.0	42671926.85714286
27	143.9968877346864	0.44687852	0.0	0.0	0.0	0.0	264718.94	0.0
28	167.01283933222643	0.44687852	0.0	0.0	0.0	0.0	607923.56	0.0
29	232.92818480431612	0.44687852	0.0	0.0	0.0	0.0	974883.2	0.0
30	129.10250443053565	0.4473155	1437716.3	399544.10500000004	834069.53	931470.7000000001	0.0	2378732.0857142857
31	147.11290414731602	0.448894	46096315.5	12690919.0	26800732.75	28792109.333333332	55098.21	76660480.57142857
32	147.10318480164477	0.4506415	221272.99250000002	57794.66	156321.0275	35922.04666666667	0.0	306613.1557142857
33	148.1099063964868	0.45132676	331117.37249999994	40487.8825	197468.69125	200967.42333333334	0.0	560495.7414285714
34	156.07682707673072	0.45501524	826524.675	248172.035	465439.7375	317824.5833333333	0.0	1708458.4000000001
35	169.0948098433147	0.45533895	2590408.975	831411.33	1606530.7650000001	1481142.4333333336	0.0	2824604.185714286
36	148.11601301766754	0.45616096	0.0	855655.7025	980954.625	436456.3333333333	0.0	0.0
37	266.92733238567945	0.4644327	0.0	0.0	0.0	0.0	371538.25	0.0
38	282.9049692010612	0.4644327	0.0	0.0	0.0	0.0	698379.7	0.0
39	156.04216343683598	0.46650687	48471.55	436596.57999999996	274897.8475	237074.80666666664	410418.53	39030.01171428571
40	197.10097410644212	0.47442687	814709.3625	342433.805	467772.35000000003	500345.43	0.0	885256.3842857144
41	152.94707319559706	0.47676572	0.0	0.0	0.0	0.0	368657.44	0.0
42	185.0687043132568	0.4799024	3868141.325	1642855.5	2623158.825	2811435.6666666665	0.0	6043413.785714285
43	207.05065005725305	0.48142168	3628011.375	1329649.25	2367992.725	2080798.5666666667	0.0	4261690.714285715
44	358.999235760419	0.4821121	717647.235	152201.4725	459017.9875	319313.44	0.0	631143.17
45	475.07337141552216	0.48239952	503946.9875	79176.43	315010.85375	305041.25333333336	0.0	711477.9414285714
46	407.0860465537119	0.48481646	539502.29	217156.75	340956.46	441962.18	0.0	930925.4857142858
47	374.97327075297767	0.48720485	1952191.675	662072.5	1338453.975	1352568.4666666666	0.0	2045414.9000000001
48	223.02452840258863	0.48819247	11407783.375	4759069.25	7744109.25	9476625.166666666	0.0	15525592.285714285
49	291.0118667972465	0.48822495	1286645.6400000001	454581.9	849769.2250000001	804560.6	0.0	1404439.2285714287
50	390.9471867531043	0.4886804	1961343.2999999998	834859.625	1489218.025	2156471.4333333336	0.0	2457645.4857142856
51	190.9118365016564	0.4897066	677920.9349999999	273177.3425	496884.25	559106.4766666667	0.0	528323.2942857143
52	274.8731890783275	0.4901592	2454829.8	952730.0625	1838822.8	2111927.6666666665	0.0	1848739.5
53	276.87126409159083	0.4901592	512724.5175	203480.1825	406714.595	439555.6866666667	0.0	387835.3657142858
54	292.84514648118835	0.4901592	1025745.3849999999	518039.515	838899.6925	1378348.3333333333	0.0	852290.0042857144
55	306.9858388065468	0.4901592	1843777.65	816212.7225	1340866.66	1794915.1666666667	0.0	2433168.0285714283
56	392.94548011304033	0.4901592	583293.3150000001	239293.84750000003	424697.6435	633437.18	0.0	701157.7899999999
57	208.883925866701	0.49018735	480315.9325	235008.865	387331.93	607395.7466666667	0.0	421897.33999999997
58	458.7698064463759	0.49040663	180037.135	108096.03999999998	201900.41	441319.95	0.0	161201.78714285715
59	122.92469293245286	0.49065888	1613998.95	710266.3150000001	1185644.52	1687033.5	0.0	1406972.4714285715
60	290.8471484260281	0.49115735	3593342.875	1813988.15	2910905.05	4773923.833333333	0.0	2965166.485714286
61	206.8858872663033	0.49167556	2277493.05	1090185.225	1825949.3375	2918155.1	0.0	1951571.4714285713
62	235.05675132060296	0.4917349	1431406.625	577265.7025	848468.87	826472.4533333333	0.0	1499777.6142857142
63	334.99203571308794	0.49264824	610940.7050000001	284589.7575	365678.2475	614696.88	0.0	682617.6285714285
64	220.9345176354899	0.49489298	0.0	0.0	0.0	0.0	864866.3	0.0
65	226.9514878916903	0.49489298	0.0	0.0	0.0	0.0	305199.16	0.0
66	288.9214506296796	0.49489298	0.0	0.0	0.0	0.0	590378.56	0.0
67	251.0306679220573	0.49561727	4305423.25	1916359.5499999998	2631924.0	3798541.5	0.0	5251239.571428572
68	213.0748285401607	0.49711654	9316040.75	4011028.45	5464167.425	6578253.333333333	0.0	12848873.57142857
69	196.0483175431416	0.4976328	564992.855	246844.51	344881.7025	409545.95999999996	0.0	773763.4342857143
70	197.03236239360305	0.50074196	5116068.0	2256292.375	2590239.89	6048109.833333333	0.0	7449556.357142857
71	334.9147967064004	0.5039697	0.0	0.0	0.0	0.0	230658.11	0.0
72	350.89221540281045	0.5039697	0.0	0.0	0.0	0.0	360828.9	0.0
73	195.9773544642128	0.52641565	5805712.875	2027385.35	4005149.59	5404529.833333333	0.0	6335294.071428572
74	180.00328940494282	0.5298126	1794533.6999999997	625385.115	1165104.6549999998	1131810.7666666666	0.0	1630644.3857142858
75	176.12227130613002	0.53004825	0.0	316516.025	262537.7	0.0	0.0	1856278.2142857143
76	222.98823545579444	0.5307552	1453536.0750000002	557758.8375	823444.7775000001	1643071.4333333333	0.0	1728147.5285714285
77	141.06594413897955	0.53111553	2676625.325	1506550.0	1360808.425	3050048.0666666664	0.0	4274259.614285714
78	159.0764725063332	0.5322659	3555813.0	1955968.025	1813293.875	4070979.6	0.0	5809895.428571428
79	223.9722185199819	0.53832173	1479630.225	572052.99	995599.3525	1611176.0999999999	0.0	1729341.0428571429
80	175.11905821050277	0.5431653	66180523.0	17062165.0	30882169.5	44931371.333333336	0.0	97269613.42857143
81	131.11805380354565	0.5438816	415562.46	417265.10000000003	236841.28500000003	633535.5466666667	0.0	814330.4942857142
82	131.0841696854173	0.544811	14610.415	0.0	0.0	0.0	0.0	21963.91285714286
83	147.10304793062016	0.5448128	0.0	0.0	60908.3575	36949.793333333335	0.0	39896.93285714286
84	255.09752704245432	0.54697776	864060.125	406680.18	644733.8175	708186.4700000001	0.0	832078.1214285714
85	148.10968708586773	0.548623	73080.79	0.0	0.0	0.0	0.0	0.0
86	296.06596070785366	0.5503024	857003.5225	296263.27749999997	722147.2549999999	392126.9133333334	0.0	860973.42
87	147.12224620522636	0.5505595	0.0	0.0	0.0	40461.56333333333	0.0	26727.924285714285
88	185.03235383393144	0.55073	5862920.25	1350915.0	2959183.8325	5474353.766666667	0.0	7477743.0
89	140.0682456263584	0.5513737	0.0	0.0	0.0	0.0	660452.9	0.0
90	156.07682780759845	0.55431694	1432793.125	248306.995	775184.07	762894.15	0.0	1843936.4571428574
91	169.0584679253135	0.5581121	1343016.3	465072.1275	731981.71	915357.4333333332	0.0	1360682.5571428572
92	186.0163724828204	0.56053305	1140443.7875	397699.26749999996	743129.345	1093869.5166666666	0.0	1324567.5999999999
93	170.0424856310829	0.56643265	787857.1775	382476.515	547675.415	554174.7733333333	0.0	747786.3342857143
94	148.07949256320802	0.56655645	0.0	0.0	0.0	414464.13666666666	0.0	0.0
95	276.998631478388	0.5672853	1124117.935	337512.94	658521.6175	1132360.5133333334	0.0	1752753.4428571428
96	188.07407387811057	0.5674206	397432.95499999996	217497.1925	291459.5875	398200.78	0.0	491496.53571428574
97	120.06583817887469	0.567822	3236972.95	788222.6849999999	1766523.75	2565714.2333333334	0.0	4269817.171428571
98	265.02312664673263	0.5691755	0.0	0.0	0.0	0.0	1184275.6	0.0
99	147.07668486076602	0.5692322	11256805.625	3848667.675	5843978.85	11021649.0	0.0	15523183.714285715
100	130.05017311370992	0.5707168	16300065.5	5936802.125	9371246.925	15732776.0	0.0	21370814.85714286
101	277.13945870741986	0.5707753	1041096.9875	254213.78000000003	574977.48	590823.8433333333	0.0	1708486.7857142857
102	292.1979269755847	0.5710357	88107.31875	216516.2125	197556.92499999996	138519.31000000003	0.0	78510.78357142858
