cluster index	parent mass	RTMean	ATTRIBUTE_sample_group:GNPSGROUP:WT	ATTRIBUTE_sample_group:GNPSGROUP:sDelta	ATTRIBUTE_sample_group:GNPSGROUP:pDelta	ATTRIBUTE_sample_group:GNPSGROUP:psDelta	ATTRIBUTE_sample_group:GNPSGROUP:blank	ATTRIBUTE_sample_group:GNPSGROUP:qc
103	148.0729105512663	0.57277817	241868.13	90025.63625	147321.142	229119.47999999998	0.0	334637.0428571429
104	148.0604932570877	0.5750869	28144033.0	10728486.75	17863930.5	26262879.333333332	0.0	36188458.0
105	149.06379944648654	0.5750997	293237.75	316606.385	264207.05	0.0	0.0	2066296.7285714287
106	249.04605745303	0.57542527	0.0	0.0	13836.74425	0.0	398972.8	0.0
107	399.1447368916848	0.57580495	1524244.1375000002	378967.7275	858182.3325	595223.9333333332	0.0	1931383.4857142854
108	219.02661407900865	0.57734925	1806740.875	483317.48250000004	1826290.55	1636982.8333333333	337681.75	1802579.4714285715
109	184.07339934265025	0.5782038	16397.6575	18587.515	1041110.675	1590963.5999999999	0.0	1235329.9142857143
110	309.13795403108	0.57984585	1643972.1500000001	1116147.91	1252529.225	1694335.2	0.0	1955207.2857142854
111	258.11023739388	0.58061004	1734132.35	524461.1749999999	1065603.5	623624.6	0.0	1898382.1857142858
112	239.04283578075447	0.58153385	4258896.475	1770850.925	2709678.975	4021416.4333333336	0.0	6479328.714285715
113	381.0793466599176	0.58925194	913219.4299999999	221236.5125	460867.3675	698249.0633333334	0.0	1369132.0285714285
114	217.12960475758427	0.59223574	790491.6150000001	194187.7575	470559.4425	415363.98666666663	0.0	1018467.3357142856
115	203.05266408624465	0.59369534	1008868.7999999999	430624.3725	1170001.9000000001	718597.2200000001	5700782.0	823789.2257142857
116	365.1057089872397	0.5976796	214026.165	112336.72499999999	177473.405	175143.58	404924.5	273553.16
117	133.05976430359888	0.6025892	4650483.075	1336717.875	3607638.4	4000294.0666666664	0.0	7293165.428571428
118	144.04786881279412	0.60335463	1200298.4125	571410.1	640074.56	832001.1866666666	0.0	1309235.4000000001
119	335.0637335143854	0.60501087	1003427.715	245355.95	565187.825	736165.6166666666	0.0	1278974.3142857144
120	122.07140804544508	0.60587186	1272628.8	914162.8374999999	971441.325	1306286.6666666667	0.0	1460782.0
121	173.09223414030987	0.60597533	719411.0625	137404.5725	275647.3265	530956.66	0.0	990838.5614285714
122	180.0866952659367	0.6089297	191220.225	138045.65500000003	290706.315	197024.42	384084.34	209552.83000000002
123	198.0972397006992	0.6121948	497997.87750000006	330919.16750000004	688246.2525	511556.10666666663	1089550.5	484004.1042857143
124	265.1118371288871	0.616779	30615875.5	13377015.75	18006341.5	23747920.666666668	0.0	31793288.285714287
125	146.16531656168894	0.61913854	330109.51499999996	166821.84	227337.425	81582.17666666667	0.0	381240.9
126	133.56158200492206	0.619548	157503.825	49425.27	284330.73	215490.25	0.0	259285.52857142856
127	360.1501533435028	0.6266896	84147.68474999999	154455.8815	121712.02124999999	128686.17833333333	256231.33	106849.27142857142
128	227.0793404891072	0.63621825	1087793.2	644288.095	882262.9425	1679552.6333333335	0.0	671000.7271428573
129	211.1054684715284	0.6402612	193130.635	172634.1225	196990.35749999998	269426.5633333333	0.0	82844.45571428571
130	170.0812435930181	0.64966714	413404.995	135214.6575	358460.345	282264.5966666667	69332.11	554435.7671428572
131	162.07613306805095	0.6511234	7254940.125	1487233.1	3766598.715	5647192.899999999	0.0	9419630.785714285
132	249.108220849736	0.6528377	633502.9675	104036.061	217727.34499999997	448990.8033333333	0.0	1207641.0999999999
133	193.0681512957	0.66081923	725434.855	77791.53149999998	335587.0375	385651.45999999996	0.0	893618.3657142858
134	664.1168967851177	0.6612634	861798.96	124379.94875000001	383242.685	524069.05666666664	0.0	1561469.8142857142
135	189.123440035802	0.661932	18349480.25	2774132.95	7950534.25	13498101.0	0.0	25874668.285714287
136	256.0816128559832	0.6636678	1299152.175	206717.295	691854.43625	721382.0533333333	0.0	1593743.3714285714
137	385.1288767677508	0.66370046	1887015.9249999998	177311.3125	865592.315	985709.2066666667	0.0	2237891.5285714287
138	386.0262922415834	0.66483057	595538.99	68754.228	316970.86	447728.97666666674	0.0	589954.2714285714
139	269.16090822047533	0.6675923	444653.195	74158.98250000001	214662.49850000002	251501.13999999998	0.0	522894.47142857144
140	348.0704411335644	0.67147744	10956463.375	1685052.225	6100699.425	6995715.5	0.0	15420150.714285715
141	208.06384177040468	0.6730146	705729.7625	37314.542	477505.76	284118.1066666667	0.0	770885.4642857142
142	332.56193520695524	0.6742624	1189185.49	503296.0425	754470.3099999999	867210.5866666666	0.0	2160750.242857143
143	133.05981339469994	0.6844863	0.0	328624.475	0.0	0.0	0.0	0.0
144	122.07140350222603	0.6844888	0.0	0.0	169113.4375	0.0	0.0	0.0
145	265.11201917964604	0.6844888	0.0	0.0	3480841.75	0.0	0.0	0.0
146	225.1233183232995	0.6910378	596864.5175000001	24487.7925	322485.64	279251.9533333333	0.0	525941.6242857144
147	144.0478817697961	0.6916764	0.0	0.0	108896.175	0.0	0.0	0.0
148	298.9932025490041	0.69696987	390844.49	18261.14	160844.5475	221059.29333333333	0.0	566725.8971428571
149	174.89609394028537	0.6999878	477161.67999999993	30294.30625	266174.85	383616.94333333336	0.0	472207.95428571437
150	213.1234841618221	0.70026994	1093518.05	187200.47749999998	400676.17425	968149.4866666667	0.0	1567898.642857143
151	123.0555989565314	0.7200533	454812.2125	0.0	320396.5525	251887.85333333336	61839.92	747496.7857142856
152	133.0321293944646	0.7381499	1395174.15	182413.13374999998	1042533.975	1191091.1333333335	0.0	1756247.0142857146
153	150.05858169349847	0.7381499	4142818.925	541693.9299999999	3060719.3	3447484.6666666665	0.0	5292336.214285715
154	308.09146916854974	0.750326	36431840.0	3709314.1	17899351.25	22528067.666666668	0.0	51289745.71428572
155	346.0474475379273	0.7525022	3261436.9000000004	161263.689	1463418.0920000002	2097518.233333333	0.0	3845468.214285714
156	330.0735047119611	0.7526583	1088922.15	255639.88999999998	637903.34	735784.7999999999	0.0	1008105.2057142856
157	227.1393380189349	0.76007766	635754.385	98660.37425	505109.92000000004	406042.5999999999	0.0	785682.5542857143
158	137.04602428704231	0.7652039	7092959.5	1991845.8749999998	4636655.525	7912869.166666667	0.0	8277867.571428572
159	225.1235949116284	0.76549226	2419044.1	343156.29	1592310.24	1642888.6833333333	0.0	2407731.5857142857
160	148.04307063353167	0.7666405	388954.11	13794.13375	193837.0425	498244.32	0.0	401125.30571428564
161	175.10806001976542	0.7669347	321058.47	19836.745	114093.05	62471.85	0.0	419661.58428571426
162	307.0834200075764	0.76755375	882796.645	129188.5325	487207.02249999996	432584.17	0.0	1932461.057142857
163	124.03967446311852	0.7684775	2181886.0	341670.77	1661676.375	1823341.3333333333	0.0	2630074.4714285717
164	194.08484373736724	0.76983035	3253610.95	446506.775	2408275.2575000003	2207445.2666666666	0.0	4462289.242857142
165	251.0699803115276	0.7705094	776308.235	95132.27075	334184.305	688403.63	0.0	1025668.3142857143
166	364.0656900868494	0.7841255	963239.2250000001	120809.51999999999	604049.6925	587744.4566666667	0.0	1340807.3857142858
167	182.08141081488995	0.7881251	2878803.725	401564.23250000004	983036.95	810512.4	0.0	1371895.142857143
168	190.07115937782456	0.78932095	225658.115	0.0	222658.53	59862.246666666666	0.0	795035.0714285715
169	165.05476145924206	0.792112	371820.58499999996	49829.84775	0.0	0.0	0.0	0.0
170	309.1380436214402	0.7948741	0.0	0.0	0.0	0.0	0.0	435195.4514285714
171	148.09693105398148	0.8030808	0.0	100646.496	518086.6975	0.0	0.0	296033.85714285716
172	132.10220008860935	0.8062137	3947224.5	381636.35	0.0	823889.6	0.0	5538273.285714285
173	362.99942892444	0.806763	159434.925	0.0	118266.015	99855.18666666666	0.0	459912.62857142865
174	157.02460312777055	0.80830365	243286.22999999998	159698.40499999997	160445.0875	298312.0966666667	0.0	281242.2585714286
175	144.0479524323325	0.81052846	460267.385	0.0	217116.0625	0.0	0.0	820758.782857143
176	159.07657694938663	0.8134718	110984.6325	0.0	151846.91499999998	0.0	0.0	0.0
177	141.0660040954004	0.8148979	0.0	0.0	65404.325	0.0	0.0	0.0
178	284.09914618820346	0.81502765	583933.0825	30065.38	117678.525	616967.2999999999	0.0	867923.9428571428
179	268.1037013542023	0.8182887	0.0	2464609.0	263831.95	0.0	0.0	0.0
180	174.8961480473945	0.81830907	89469.0625	0.0	0.0	0.0	0.0	96727.75142857143
181	153.040837289516	0.8192693	0.0	190071.79499999998	0.0	0.0	0.0	0.0
182	265.11206758473355	0.822463	23838895.5	0.0	6494713.5	14173321.333333334	0.0	23140207.14285714
183	122.0714544817029	0.8243315	609182.8	0.0	297928.475	375168.2	0.0	1133393.2857142854
184	325.0433238242072	0.82752585	501354.1625	230600.0925	328427.6875	536856.48	0.0	972588.5142857142
185	399.14502060507147	0.84740615	78038.265	0.0	177897.625	119446.71	0.0	43573.59428571428
186	162.05845461198106	0.8508624	0.0	387354.55	57716.085	0.0	0.0	0.0
187	355.1550955791751	0.8612253	291505.70749999996	0.0	84236.6925	55260.121333333336	0.0	356961.0714285714
188	146.16538203365047	0.8637711	245773.3075	70169.5675	192818.1475	124102.23666666668	0.0	396855.5885714286
189	162.07620859509024	0.89955974	517006.46249999997	36374.015	237276.15000000002	479137.59	0.0	686728.8685714286
190	174.88671121011348	0.9430357	226706.04249999998	0.0	105399.27375	104848.278	0.0	344588.04714285716
191	268.1037281772902	0.9436214	1119770.775	419685.06	869101.975	1785815.5999999999	0.0	1516465.4714285715
192	132.10216730107027	0.94369245	2029299.125	1578832.125	2427740.825	1356130.6666666667	0.0	4037474.8571428573
193	258.1105158141085	0.95055	186552.536	0.0	80098.652	19408.375	0.0	254860.85714285713
194	283.0363983604241	0.95138735	119544.1325	0.0	31285.6835	27647.611999999997	0.0	262406.65142857144
195	141.0660216872369	0.996425	210436.4925	0.0	243720.295	163340.26666666666	0.0	234302.94285714286
196	159.0765818947608	1.002704	269155.41000000003	35388.6125	322300.145	216319.86666666667	0.0	468843.36428571434
197	162.07617858964596	1.01348	0.0	154001.0875	22403.1725	0.0	0.0	0.0
198	284.09900941504293	1.0458509	172562.4375	160640.0275	88832.7435	206578.06333333332	0.0	169750.56857142856
199	399.1450283814186	1.0600905	201557.41249999998	0.0	87395.11249999999	74718.12333333334	0.0	251391.66
200	137.0459191247018	1.075961	0.0	136540.9775	21693.795	116044.11333333334	0.0	0.0
201	175.11914006845052	1.1035658	0.0	0.0	0.0	3233934.1666666665	0.0	1715828.857142857
202	176.12251437562807	1.1075898	206546.30000000002	0.0	209734.1875	0.0	0.0	628600.8285714285
203	133.0974523749534	1.1246299	0.0	0.0	0.0	18226.72	0.0	31416.415714285715
204	176.11592702295	1.1259751	64043.561	0.0	16034.6405	22614.111999999997	0.0	130762.38357142857
205	129.10257701651972	1.1266627	51658.765	0.0	17385.815	26415.423333333336	0.0	104625.68857142857
206	147.1032739846072	1.1291498	0.0	0.0	0.0	0.0	0.0	14850.496714285715
207	185.0688731663584	1.1428881	280363.0025	0.0	134693.2375	134788.07666666666	0.0	435737.37142857147
208	147.12247110606512	1.1471033	0.0	0.0	0.0	0.0	0.0	7719.534285714285
209	169.0949149245544	1.1479175	347879.61	0.0	189374.4575	140703.20333333334	0.0	432045.7442857143
210	130.08653841222872	1.1683711	420088.75	0.0	0.0	0.0	0.0	0.0
211	197.0325215373364	1.1732556	139474.7225	0.0	91149.65000000001	157523.06666666668	0.0	160220.27857142856
212	174.89618010914617	1.1744468	88730.77	0.0	43575.64	65999.58533333334	0.0	104444.99857142857
213	146.16533938950727	1.1896614	272127.17000000004	29977.1625	147611.48249999998	117514.88	0.0	565243.2828571429
214	213.07504816135128	1.1937661	371798.25	0.0	234825.27000000002	298251.5016666667	0.0	309328.59857142856
215	195.97746760899145	1.1953357	177813.31	0.0	89700.03099999999	124293.16333333333	0.0	168119.01857142858
216	147.07660584526323	1.2266511	221852.125	0.0	62094.575	0.0	0.0	0.0
217	148.06052269093658	1.2423615	0.0	0.0	517207.625	0.0	0.0	0.0
218	130.0501709559912	1.2616912	177768.95	0.0	0.0	0.0	0.0	0.0
219	174.89618664562107	1.2975371	0.0	0.0	0.0	0.0	0.0	40002.397142857146
220	162.07621133436385	1.3207283	39137.7025	0.0	0.0	0.0	0.0	35006.060000000005
221	348.0705499081375	1.3237456	119231.5925	0.0	76578.495	126423.22999999998	0.0	235313.17857142858
222	308.0913044076109	1.3683308	453602.885	0.0	226710.10250000004	252886.29000000004	0.0	613315.0642857143
223	268.1037481529698	1.3733622	183766.09749999997	14353.74	82414.67	81746.77166666667	0.0	196103.85285714283
224	189.1235246471724	1.381932	340839.0075	63216.59075	193753.85249999998	197951.56666666665	0.0	317404.39
225	189.05251175581392	1.4468753	67979.06	0.0	30357.22	52370.475	0.0	561218.5828571428
226	151.09662829247415	1.4543666	63195.31375	48068.629	62235.6415	85272.10533333333	115775.68	466609.0371428571
227	209.12862865873583	1.483293	568075.1	165100.2125	476190.57999999996	340720.76666666666	0.0	645319.6842857143
228	189.1235109820948	1.49394	407355.67000000004	69385.319	98225.29	423015.6566666667	0.0	509639.30571428564
229	120.08111236018932	1.5049064	570949.815	197337.7575	320192.015	567005.9933333333	0.0	719398.9542857142
230	166.08644054973098	1.505634	5522042.2	1664653.3250000002	2978549.21	5318216.5	0.0	7266238.5
231	229.15484257534453	1.5146881	278192.0575	43301.7255	140974.514	196073.65666666665	0.0	336210.2442857143
232	228.0634228026669	1.5978888	348967.835	0.0	137686.01525	228728.54799999998	0.0	705590.042857143
233	212.089444178056	1.6012747	157122.39	13398.06825	73247.41425	137602.42666666667	0.0	248434.9228571429
234	144.1020800722005	1.6040746	276313.77	110605.829	136847.275	288094.0833333333	0.0	366994.24714285706
235	190.1075043692767	1.6041797	2044120.8	778855.7274999999	1100783.65	2151516.8333333335	0.0	2760672.214285714
236	235.16539374415805	1.6042376	290135.4925	122326.736	185792.4925	375317.1066666667	0.0	297503.2014285714
237	229.15483959828984	1.6674097	489349.90750000003	95076.36075	211411.095	484706.2166666666	0.0	552894.3357142856
238	223.10781232417605	1.7038394	219096.0125	0.0	87051.5725	203380.06166666665	0.0	214262.66714285713
239	384.1150670122848	1.7774711	384882.5875	99857.178	160276.9	244546.96000000005	0.0	532733.9842857143
240	229.15487274976692	1.7933244	0.0	0.0	0.0	0.0	0.0	78016.60714285714
241	354.0789330860647	1.8087826	308276.7075	0.0	176565.98500000002	153278.008	0.0	249343.51714285716
242	233.0787429592542	1.8295645	150680.3025	0.0	113036.9125	117440.51000000001	0.0	1339307.3714285714
243	196.1261294862374	1.8300323	0.0	0.0	0.0	0.0	0.0	652341.0714285715
244	212.14964288448047	1.8313203	0.0	0.0	34929.33	50445.37666666667	129198.94	596680.8114285715
245	217.10497950845408	1.8323833	224679.6825	67502.116	214621.91749999998	194543.92333333334	0.0	1301599.7
246	195.1228093354977	1.833548	2127494.475	866448.2375	2125290.025	2004418.7333333334	2452673.2	12773899.857142856
247	240.18061897929937	1.833548	596137.7949999999	294682.0175	644336.385	693807.2666666667	509944.0	2630627.1571428566
248	146.11767908881782	1.838279	209174.9475	56008.396250000005	113435.6735	210806.66333333333	0.0	221470.89857142858
249	217.1060217215871	1.8402869	0.0	0.0	0.0	0.0	259715.47	0.0
250	258.0741254375477	1.8552842	276703.2825	0.0	208838.495	134718.6	0.0	405497.7542857143
251	242.10003051969443	1.8572327	293573.66500000004	32172.818250000004	280722.3335	185531.01	0.0	392434.16571428574
252	220.11810306967	1.8589668	2867006.0	684299.08	2810868.575	2139282.533333333	0.0	3325420.1999999997
253	155.15434454725647	1.8792962	0.0	0.0	147505.35	0.0	311631.22	0.0
254	298.09684203381386	1.884042	747541.425	128916.72	538695.3275	294528.5333333334	0.0	1260995.8142857142
255	188.0707387377604	1.8948429	1098292.45	274032.72250000003	657012.88	1071376.4466666665	0.0	1294477.1285714286
256	205.0973309064422	1.8948429	1683058.4	424672.85750000004	1029901.1375	1642399.8999999997	0.0	2050137.1571428573
257	262.1188425484793	1.98923	163258.46500000003	0.0	78165.285	169038.35	0.0	174328.38857142857
258	130.1592297419023	2.007713	174207.8025	94960.27974999999	123599.82500000001	134303.305	97762.95	223863.82142857142
259	261.1311278400605	2.1020153	23594.51	0.0	33426.64	0.0	0.0	117376.72571428573
260	256.1755720934761	2.105808	522059.96249999997	202920.0475	528141.385	395683.6433333333	519499.97	1157868.0485714285
261	284.20681867476816	2.1094725	343855.4925	151228.6715	340332.72	303765.62666666665	196251.34	665268.0914285714
262	239.1490579623933	2.1098678	1487285.35	587885.4924999999	1503391.5150000001	1125862.6333333333	1355509.5	3209631.014285714
263	261.1447469033434	2.1942844	224031.85499999998	0.0	122002.3925	117941.62666666666	0.0	255363.72142857144
264	359.10362079270783	2.3066554	145271.509	0.0	91796.26574999999	44291.71166666667	0.0	158055.96142857143
265	283.1750892720222	2.3334868	273713.7375	129033.99750000001	257146.41749999998	168762.22999999998	136694.67	405744.88857142854
