CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
56	60	2	0.8294	102.098
118	147	2	0.9022	0.000
118	175	2	0.9504	-0.000
118	281	2	0.8459	-71.078
259	345	2	0.8228	-41.174
84	191	2	0.886	-13.006
191	223	2	0.8768	0.000
191	254	2	0.9203	-29.993
242	325	2	0.8413	2.831
53	54	2	0.8902	-15.974
44	60	2	0.8272	68.152
49	60	2	0.9834	0.165
50	60	2	0.9363	100.100
259	359	2	0.884	-20.164
61	84	2	0.82	-48.212
84	223	2	0.8303	-13.006
49	50	2	0.9154	-99.935
113	275	2	0.8309	153.995
113	325	2	0.8505	150.831
146	159	2	0.8195	-0.000
147	175	2	0.9098	-0.000
44	49	2	0.8711	67.987
35	91	2	0.9487	0.036
175	281	2	0.8144	-71.077
48	281	2	0.8996	7.899
275	359	2	0.8425	-54.210
158	275	2	0.8201	-90.039
275	286	2	0.854	-116.045
48	275	2	0.8362	-4.060
436	440	3	0.8995	0.000
440	442	3	0.8601	-2.015
436	442	3	0.8384	-2.015
77	78	4	0.9531	-18.011
78	112	4	0.8187	-79.966
78	176	4	0.8492	-0.000
78	177	4	0.87	18.011
78	195	4	0.9363	18.011
78	196	4	0.9322	-0.000
77	195	4	0.9519	-0.000
176	195	4	0.8452	18.011
177	195	4	0.8743	0.000
195	196	4	0.9102	-18.011
77	112	4	0.7847	-97.977
112	196	4	0.7812	79.966
77	176	4	0.8325	-18.011
176	196	4	0.9613	0.000
77	177	4	0.884	-0.000
177	196	4	0.8152	-18.011
77	196	4	0.9146	-18.011
24	99	6	0.9843	0.046
26	99	6	0.9444	-16.990
32	99	6	0.9696	0.026
83	99	6	0.9843	0.026
87	99	6	0.9756	0.045
99	206	6	0.9647	-0.027
99	208	6	0.9647	-0.046
99	210	6	0.954	16.990
99	216	6	0.9605	0.000
34	139	6	0.8428	-113.084
39	139	6	0.8566	-113.119
90	139	6	0.8458	-113.084
139	231	6	0.8607	40.006
24	87	6	0.978	0.000
32	87	6	0.9685	-0.019
83	87	6	0.978	-0.019
87	206	6	0.9667	0.019
87	208	6	0.9667	-0.000
87	210	6	0.9569	17.036
87	216	6	0.9599	0.046
87	218	6	0.9529	17.072
24	208	6	0.9614	0.000
31	208	6	0.9476	-0.010
32	208	6	0.9601	-0.019
83	208	6	0.9614	-0.020
206	208	6	1.0	-0.019
208	216	6	0.955	0.046
24	206	6	0.9614	0.019
31	206	6	0.9476	0.010
32	206	6	0.9601	-0.000
83	206	6	0.9614	-0.000
206	216	6	0.955	0.027
39	192	6	0.8469	23.940
90	192	6	0.9066	23.975
167	192	6	0.7476	49.979
172	192	6	0.9703	0.000
192	230	6	0.9623	-33.984
26	34	6	0.9443	-25.990
34	39	6	0.9196	0.035
34	90	6	0.9769	0.000
34	172	6	0.8829	23.975
34	230	6	0.9143	-10.010
150	237	6	0.8396	-16.031
237	240	6	0.9574	-0.000
26	103	6	0.9332	-17.986
33	103	6	0.9799	0.037
36	103	6	0.9891	0.043
85	103	6	0.9873	0.037
94	103	6	1.0	0.007
100	103	6	0.9389	-18.023
