feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
523	15	Amino acids and Peptides	0.020833333333333332	Small peptides	0.020833333333333332	Aminoacids	0.020833333333333332	1.0	0.3616408	ISDB	http://www.wikidata.org/entity/Q72465283	AZFYLSFUALTNAY-UHFFFAOYSA-N	InChI=1S/C6H7N3O/c10-6-8-2-1-5-3-7-4-9(5)6/h3-4H,1-2H2,(H,8,10)	O=C1NCCc2cncn21	C6H7N3O		137.058911844	7,8-dihydroimidazo[1,5-c]pyrimidin-5(6H)-one	AZFYLSFUALTNAY	Alkaloids	Histidine alkaloids	Imidazole alkaloids	http://www.wikidata.org/entity/Q80924658	Dipodascus geotrichum	60018.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Dipodascaceae']	['Unknown']	['Geotrichum']	['Geotrichum candidum']		['Eukaryota']	['Fungi']	['Ascomycota']							3	0	4.446563243865967	1
522	-1							1.0	0.67883366	ISDB	http://www.wikidata.org/entity/Q27123812	GXNFPEOUKFOTKY-LPHQIWJTSA-N	InChI=1S/C39H58O4/c1-28(2)16-11-17-29(3)18-12-19-30(4)20-13-21-31(5)22-14-23-32(6)24-15-25-33(7)26-27-35-34(8)36(40)38(42-9)39(43-10)37(35)41/h16,18,20,22,24,26H,11-15,17,19,21,23,25,27H2,1-10H3/b29-18+,30-20+,31-22+,32-24+,33-26+	COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O	C39H58O4		590.433510336	Coenzyme Q6	GXNFPEOUKFOTKY	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	http://www.wikidata.org/entity/Q309852	Euglena gracilis	1073327.0	['Eukaryota']	['Unknown']	['Euglenida']	['Euglenophyceae']	['Unknown']	['Euglenaceae']	['Unknown']	['Euglena']	['Euglena gracilis']		['Eukaryota']									1	0	3.71533465385437	1
500	9	Fatty acids	0.15789473684210525	Glycerophospholipids	0.15789473684210525	Glycerophosphoethanolamines	0.15789473684210525	1.0	0.4960029	ISDB									PGPMCWZMPPZJML							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	1.9840116500854492	1
493	9	Fatty acids	0.15789473684210525	Glycerophospholipids	0.15789473684210525	Glycerophosphoethanolamines	0.15789473684210525	1.0	0.6489421	ISDB									CEDYZXOEZCSUMJ							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	2.595768451690674	1
487	13	Terpenoids	0.45454545454545453	Steroids	0.45454545454545453	Pregnane steroids	0.18181818181818182	1.0	0.7553648	ISDB	http://www.wikidata.org/entity/Q27231146	UAUDZVJPLUQNMU-KTKRTIGZSA-N	InChI=1S/C22H43NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h9-10H,2-8,11-21H2,1H3,(H2,23,24)/b10-9-	CCCCCCCC/C=C\CCCCCCCCCCCC(N)=O	C22H43NO		337.334464996	Erucamide	UAUDZVJPLUQNMU	Fatty acids	Fatty amides	Primary amides	http://www.wikidata.org/entity/Q309852	Euglena gracilis	1073327.0	['Eukaryota']	['Unknown']	['Euglenida']	['Euglenophyceae']	['Unknown']	['Euglenaceae']	['Unknown']	['Euglena']	['Euglena gracilis']		['Eukaryota']									1	0	4.021459102630615	1
477	9	Fatty acids	0.15789473684210525	Glycerophospholipids	0.15789473684210525	Glycerophosphoethanolamines	0.15789473684210525	1.0	0.46567586	ISDB									WLQUKBFDCWVXKE							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	1.8627034425735474	1
476	12	Fatty acids	0.25	Glycerophospholipids	0.25	Glycerophosphocholines	0.25	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q10860475	WTJKGGKOPKCXLL-VYOBOKEXSA-N	InChI=1S/C42H82NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h20-21,40H,6-19,22-39H2,1-5H3/b21-20-/t40-/m1/s1	CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C	C42H82NO8P	pos_1_1proton	759.577805214	1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine	WTJKGGKOPKCXLL	Fatty acids	Glycerophospholipids	Glycerophosphocholines	http://www.wikidata.org/entity/Q719725	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']		['Eukaryota']	['Fungi']	['Ascomycota']			['Saccharomycetaceae']		['Saccharomyces']	['Saccharomyces cerevisiae']	6	3	7.5	1
471	9	Fatty acids	0.15789473684210525	Glycerophospholipids	0.15789473684210525	Glycerophosphoethanolamines	0.15789473684210525	1.0	0.6540171	ISDB									FNGLJQNZSXEYIG							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	2.6160683631896973	1
468	9	Fatty acids	0.15789473684210525	Glycerophospholipids	0.15789473684210525	Glycerophosphoethanolamines	0.15789473684210525	1.0	0.6439104	ISDB									YFGPTSONISZCTI							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	2.575641632080078	1
467	13	Terpenoids	0.45454545454545453	Steroids	0.45454545454545453	Pregnane steroids	0.18181818181818182	1.0	0.6686866	ISDB									CPRUTHPUWILGGA							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	2.674746513366699	1
466	13	Terpenoids	0.45454545454545453	Steroids	0.45454545454545453	Pregnane steroids	0.18181818181818182	15.0	0.5568478	ISDB	http://www.wikidata.org/entity/Q27138680	PCIZFQVDNDHRPP-WOIVZMLFSA-N	InChI=1S/C28H44O3/c1-16(2)17(3)7-8-18(4)20-9-10-21-23-22(12-13-26(20,21)5)27(6)14-11-19(29)15-28(27)25(31-28)24(23)30/h7-8,16-21,24-25,29-30H,9-15H2,1-6H3/b8-7+/t17-,18+,19-,20+,21-,24-,25-,26+,27+,28-/m0/s1	CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@@]12O[C@H]2[C@H]3O	C28H44O3		428.3290452679999	(22E,24R)-ergosta-5alpha,6alpha-epoxide-8,22-diene-3beta,7alpha-diol	PCIZFQVDNDHRPP	Terpenoids	Steroids	Cholestane steroids	http://www.wikidata.org/entity/Q137155	Penicillium chrysogenum	226485.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Eurotiales']	['Trichocomaceae']	['Unknown']	['Penicillium']	['Penicillium chrysogenum']		['Eukaryota']	['Fungi']	['Ascomycota']							3	2	6.227391242980957	1
465	44	Terpenoids	1.0	Steroids	1.0	Ergostane steroids	1.0	18.0	0.28806102	ISDB	http://www.wikidata.org/entity/Q105270394	UDJPNKZCBLLFEF-KRRABBTLSA-N	InChI=1S/C28H42O/c1-18(2)19(3)7-8-20(4)24-13-14-25-23-12-10-21-9-11-22(29)17-28(21,6)26(23)15-16-27(24,25)5/h7-8,10,12,20,22,24-26,29H,9,11,13-17H2,1-6H3/b8-7+/t20-,22-,24-,25+,26+,27-,28+/m1/s1	CC(C)=C(C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4CC[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C	C28H42O		394.323565964	(2R,9S,10R,13R,14R,17R)-17-[(2R,3E)-5,6-dimethylhepta-3,5-dien-2-yl]-10,13-dimethyl-2,3,4,9,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-2-ol	UDJPNKZCBLLFEF	Terpenoids	Steroids	Ergostane steroids	http://www.wikidata.org/entity/Q719725	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']		['Eukaryota']	['Fungi']	['Ascomycota']			['Saccharomycetaceae']		['Saccharomyces']	['Saccharomyces cerevisiae']	6	3	8.652244091033936	1
463	13	Terpenoids	0.45454545454545453	Steroids	0.45454545454545453	Pregnane steroids	0.18181818181818182	1.0	0.5725595	ISDB									OYOIHWLYVJQMIC							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	2.2902379035949707	1
