feature_id	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class
132	2.0	0.48485228	ISDB	http://www.wikidata.org/entity/Q27156507	GWNXFCYUJXASDX-UHFFFAOYSA-N	InChI=1S/C9H16N2O6/c1-4(12)7(9(16)17)11-6(13)3-2-5(10)8(14)15/h4-5,7,12H,2-3,10H2,1H3,(H,11,13)(H,14,15)(H,16,17)	CC(O)C(NC(=O)CCC(N)C(=O)O)C(=O)O	C9H16N2O6	nan	248.100836232	gamma-Glu-Thr	GWNXFCYUJXASDX	Amino acids and Peptides	Small peptides	Dipeptides	http://www.wikidata.org/entity/Q719725	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	nan	['Eukaryota']	['Fungi']	['Ascomycota']	nan	nan	['Saccharomycetaceae']	nan	['Saccharomyces']	['Saccharomyces cerevisiae']	6	2	8.939409136772156	1	7	Amino acids and Peptides	0.65	Small peptides	0.65	Aminoacids	0.4
134	1.0	0.50439894	ISDB	http://www.wikidata.org/entity/Q26987253	BAWFJGJZGIEFAR-NNYOXOHSSA-O	InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p+1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1	NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1	C21H28N7O14P2+	nan	664.1163982560896	Nicotinamide adenine dinucleotide	BAWFJGJZGIEFAR	Carbohydrates	Nucleosides	Purine nucleos(t)ides	http://www.wikidata.org/entity/Q719725	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	nan	['Eukaryota']	['Fungi']	['Ascomycota']	nan	nan	['Saccharomycetaceae']	nan	['Saccharomyces']	['Saccharomyces cerevisiae']	6	0	8.017595767974854	1	2	Fatty acids	0.11458333333333333	Fatty Acids and Conjugates	0.08333333333333333	Hydroxy fatty acids	0.07291666666666667
139	1.0	0.9134169	ISDB	http://www.wikidata.org/entity/Q27106873	MMFKFJORZBJVNF-UWVGGRQHSA-N	InChI=1S/C12H20N4O3/c1-7(2)3-10(12(18)19)16-11(17)9(13)4-8-5-14-6-15-8/h5-7,9-10H,3-4,13H2,1-2H3,(H,14,15)(H,16,17)(H,18,19)/t9-,10-/m0/s1	CC(C)C[C@H](NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)O	C12H20N4O3	nan	268.1535405	Histidylleucine zwitterion	MMFKFJORZBJVNF	Amino acids and Peptides	Small peptides	Dipeptides	http://www.wikidata.org/entity/Q306939	Apis cerana	625771.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Apidae']	['Apini']	['Apis']	['Apis cerana']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	2	5.653667688369751	1	6	Amino acids and Peptides	0.38461538461538464	Small peptides	0.38461538461538464	Aminoacids	0.358974358974359
147	1.0	0.61864746	ISDB	http://www.wikidata.org/entity/Q27093940	BKAWJIRCKVUVED-UHFFFAOYSA-N	InChI=1S/C6H9NOS/c1-5-6(2-3-8)9-4-7-5/h4,8H,2-3H2,1H3	Cc1ncsc1CCO	C6H9NOS	nan	143.040484908	4-Methyl-5-thiazoleethanol	BKAWJIRCKVUVED	Alkaloids	Serine alkaloids	Thiazole alkaloids	http://www.wikidata.org/entity/Q719725	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	nan	['Eukaryota']	['Fungi']	['Ascomycota']	nan	nan	['Saccharomycetaceae']	nan	['Saccharomyces']	['Saccharomyces cerevisiae']	6	0	8.474589824676514	1	2	Fatty acids	0.11458333333333333	Fatty Acids and Conjugates	0.08333333333333333	Hydroxy fatty acids	0.07291666666666667
15	1.0	0.40394253	ISDB	http://www.wikidata.org/entity/Q105342087	XUBVCJMVRGITPS-UHFFFAOYSA-N	InChI=1S/C12H10N2O2/c1-16-9-6-7-2-4-13-8-3-5-14-11(10(7)8)12(9)15/h2-6,14-15H,1H3	COc1cc2ccnc3c2c(c1O)NC=C3	C12H10N2O2	nan	214.07422756	nan	XUBVCJMVRGITPS	Alkaloids	Tryptophan alkaloids	nan	http://www.wikidata.org/entity/Q2382180	Aaptos aaptos	662725.0	['Eukaryota']	['Metazoa']	['Porifera']	['Demospongiae']	['Suberitida']	['Suberitidae']	['Unknown']	['Aaptos']	['Aaptos aaptos']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	2	3.615770101547241	1	1	Alkaloids	0.5	Tryptophan alkaloids	0.5	Miscellaneous meroterpenoids	0.25
153	1.0	0.85893464	ISDB	http://www.wikidata.org/entity/Q27093862	FFEARJCKVFRZRR-SCSAIBSYSA-N	InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m1/s1	CSCC[C@@H](N)C(=O)O	C5H11NO2S	nan	149.051049592	(2R)-2-ammonio-4-(methylsulfanyl)butanoate	FFEARJCKVFRZRR	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q719725	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	nan	['Eukaryota']	['Fungi']	['Ascomycota']	nan	nan	['Saccharomycetaceae']	nan	['Saccharomyces']	['Saccharomyces cerevisiae']	6	3	10.935738563537598	1	7	Amino acids and Peptides	0.65	Small peptides	0.65	Aminoacids	0.4
154	1.0	0.90102595	ISDB	http://www.wikidata.org/entity/Q116907	RWSXRVCMGQZWBV-WDSKDSINSA-N	InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O	C10H17N3O6S	nan	307.083806264	(2S)-2-azaniumyl-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoate	RWSXRVCMGQZWBV	Amino acids and Peptides	Small peptides	Tripeptides	http://www.wikidata.org/entity/Q134359	Aspergillus fumigatus	278828.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Eurotiomycetes']	['Eurotiales']	['Trichocomaceae']	['Unknown']	['Aspergillus']	['Aspergillus fumigatus']	nan	['Eukaryota']	['Fungi']	['Ascomycota']	nan	nan	nan	nan	nan	nan	3	2	7.6041038036346436	1	7	Amino acids and Peptides	0.65	Small peptides	0.65	Aminoacids	0.4
161	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27887010	ODHCTXKNWHHXJC-UHFFFAOYSA-N	InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)	O=C1CCC(C(=O)O)N1	C5H7NO3	pos_1_1proton1ethylamine	129.042593084	DL-Pyroglutamic acid	ODHCTXKNWHHXJC	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q719725	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	nan	['Eukaryota']	['Fungi']	['Ascomycota']	nan	nan	['Saccharomycetaceae']	nan	['Saccharomyces']	['Saccharomyces cerevisiae']	6	3	7.5	1	8	Amino acids and Peptides	0.45454545454545453	Small peptides	0.45454545454545453	Aminoacids	0.45454545454545453
164	4.0|4.0	0.0|0.0	MS1_match|MS1_match	http://www.wikidata.org/entity/Q484583|http://www.wikidata.org/entity/Q23637400	ONIBWKKTOPOVIA-UHFFFAOYSA-N|DZLNHFMRPBPULJ-UHFFFAOYSA-N	InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)|InChI=1S/C4H7NO2S/c6-4(7)3-1-8-2-5-3/h3,5H,1-2H2,(H,6,7)	O=C(O)C1CCCN1|O=C(O)C1CSCN1	C5H9NO2|C4H7NO2S	pos_1_1proton1dmso|pos_1_1proton1isopropanol	115.063328528|133.019749464	Pyrrolidin-1-ium-2-carboxylate|1,3-Thiazolidin-3-ium-4-carboxylate	ONIBWKKTOPOVIA|DZLNHFMRPBPULJ	Amino acids and Peptides|Amino acids and Peptides	Small peptides|Small peptides	Aminoacids|Aminoacids	http://www.wikidata.org/entity/Q719725|http://www.wikidata.org/entity/Q719725	Saccharomyces cerevisiae|Saccharomyces cerevisiae	356221.0|356221.0	['Eukaryota']|['Eukaryota']	['Fungi']|['Fungi']	['Ascomycota']|['Ascomycota']	['Unknown']|['Unknown']	['Saccharomycetales']|['Saccharomycetales']	['Saccharomycetaceae']|['Saccharomycetaceae']	['Unknown']|['Unknown']	['Saccharomyces']|['Saccharomyces']	['Saccharomyces cerevisiae']|['Saccharomyces cerevisiae']	nan|nan	['Eukaryota']|['Eukaryota']	['Fungi']|['Fungi']	['Ascomycota']|['Ascomycota']	nan|nan	nan|nan	['Saccharomycetaceae']|['Saccharomycetaceae']	nan|nan	['Saccharomyces']|['Saccharomyces']	['Saccharomyces cerevisiae']|['Saccharomyces cerevisiae']	6|6	3|3	7.5|7.5	1|1	7	Amino acids and Peptides	0.65	Small peptides	0.65	Aminoacids	0.4
165	1.0	0.8696649	ISDB	http://www.wikidata.org/entity/Q288236	RITKHVBHSGLULN-WHFBIAKZSA-N	InChI=1S/C8H14N2O5S/c9-4(7(12)13)1-2-6(11)10-5(3-16)8(14)15/h4-5,16H,1-3,9H2,(H,10,11)(H,12,13)(H,14,15)/t4-,5-/m0/s1	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)O)C(=O)O	C8H14N2O5S	nan	250.062342548	gamma-Glutamylcysteine	RITKHVBHSGLULN	Amino acids and Peptides	Small peptides	Dipeptides	http://www.wikidata.org/entity/Q719725	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	nan	['Eukaryota']	['Fungi']	['Ascomycota']	nan	nan	['Saccharomycetaceae']	nan	['Saccharomyces']	['Saccharomyces cerevisiae']	6	2	10.478659629821777	1	7	Amino acids and Peptides	0.65	Small peptides	0.65	Aminoacids	0.4
