"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"189_162.08_0.9",189,162.07620859509,0.89955974,"C6H11NO4"
"190_174.89_0.9",190,174.886711210113,0.9430357,NA
"191_268.1_0.9",191,268.10372817729,0.9436214,"C10H13N5O4"
"192_132.1_0.9",192,132.10216730107,0.94369245,"C6H13NO2"
"193_258.11_1",193,258.110515814109,0.95055,"C8H20NO6P"
"194_283.04_1",194,283.036398360424,0.95138735,"C9H12N2O5S"
"195_141.07_1",195,141.066021687237,0.996425,"C6H8N2O2"
"196_159.08_1",196,159.076581894761,1.002704,"C6H10N2O3"
"197_162.08_1",197,162.076178589646,1.01348,"C6H11NO4"
"198_284.1_1",198,284.099009415043,1.0458509,"C10H13N5O5"
"199_399.15_1.1",199,399.145028381419,1.0600905,"C15H22N6O5S"
"2_216.95_0.4",2,216.950719017896,0.41185388,"C6H4ClFO2S"
"20_231.07_0.4",20,231.065217279398,0.43502492,"C13H10O4"
"200_137.05_1.1",200,137.045919124702,1.075961,"C5H4N4O"
"202_176.12_1.1",202,176.122514375628,1.1075898,"C7H17N3S"
"204_176.12_1.1",204,176.11592702295,1.1259751,"C8H15N3"
"205_129.1_1.1",205,129.10257701652,1.1266627,"C6H14N2O2"
"207_185.07_1.1",207,185.068873166358,1.1428881,"C6H14N2O2"
"209_169.09_1.1",209,169.094914924554,1.1479175,"C6H14N2O2"
"21_214.92_0.4",21,214.917668481456,0.435732,"C2HBrN4O2"
"210_130.09_1.2",210,130.086538412229,1.1683711,"C6H11NO2"
"211_197.03_1.2",211,197.032521537336,1.1732556,NA
"212_174.9_1.2",212,174.896180109146,1.1744468,NA
"213_146.17_1.2",213,146.165339389507,1.1896614,"C7H19N3"
"214_213.08_1.2",214,213.075048161351,1.1937661,"C6H14N4O2"
"215_195.98_1.2",215,195.977467608991,1.1953357,NA
"216_147.08_1.2",216,147.076605845263,1.2266511,"C5H10N2O3"
"218_130.05_1.3",218,130.050170955991,1.2616912,"C5H9NO4"
"22_315.19_0.4",22,315.187679512298,0.43948635,"C19H23FN2O"
"220_162.08_1.3",220,162.076211334364,1.3207283,"C6H11NO4"
"221_348.07_1.3",221,348.070549908137,1.3237456,"C10H16N5O8P"
"222_308.09_1.4",222,308.091304407611,1.3683308,"C10H17N3O6S"
"223_268.1_1.4",223,268.10374815297,1.3733622,"C10H13N5O4"
"224_189.12_1.4",224,189.123524647172,1.381932,"C8H16N2O3"
"225_189.05_1.4",225,189.052511755814,1.4468753,NA
"226_151.1_1.5",226,151.096628292474,1.4543666,"C6H14O4"
"227_209.13_1.5",227,209.128628658736,1.483293,"C11H18N2O3"
"228_189.12_1.5",228,189.123510982095,1.49394,"C8H16N2O3"
"229_120.08_1.5",229,120.081112360189,1.5049064,"C8H11NO"
"23_131.08_0.4",23,131.083923549355,0.4419091,NA
"230_166.09_1.5",230,166.086440549731,1.505634,"C9H11NO2"
"231_229.15_1.5",231,229.154842575345,1.5146881,"C11H20N2O3"
"232_228.06_1.6",232,228.063422802667,1.5978888,NA
"233_212.09_1.6",233,212.089444178056,1.6012747,NA
"234_144.1_1.6",234,144.1020800722,1.6040746,"C7H13NO2"
"235_190.11_1.6",235,190.107504369277,1.6041797,"C8H17NO5"
"236_235.17_1.6",236,235.165393744158,1.6042376,"C10H22N2O4"
"237_229.15_1.7",237,229.15483959829,1.6674097,"C11H20N2O3"
"238_223.11_1.7",238,223.107812324176,1.7038394,"C11H14N2O3"
"239_384.12_1.8",239,384.115067012285,1.7774711,"C14H17N5O8"
"24_147.12_0.4",24,147.122484057343,0.44207144,NA
"241_354.08_1.8",241,354.078933086065,1.8087826,"C11H19N3O6S2"
"242_233.08_1.8",242,233.078742959254,1.8295645,NA
"245_217.1_1.8",245,217.104979508454,1.8323833,"C9H14N4O"
"246_195.12_1.8",246,195.122809335498,1.833548,"C8H18O5"
"247_240.18_1.8",247,240.180618979299,1.833548,NA
"248_146.12_1.8",248,146.117679088818,1.838279,"C7H15NO2"
"25_133.1_0.4",25,133.09729590435,0.4462771,"C5H12N2O2"
"250_258.07_1.9",250,258.074125437548,1.8552842,"C7H16NO7P"
"251_242.1_1.9",251,242.100030519694,1.8572327,"C9H17NO5"
"252_220.12_1.9",252,220.11810306967,1.8589668,"C9H17NO5"
"254_298.1_1.9",254,298.096842033814,1.884042,"C11H15N5O3S"
"255_188.07_1.9",255,188.07073873776,1.8948429,"C11H11NO3"
"256_205.1_1.9",256,205.097330906442,1.8948429,"C11H12N2O2"
"257_262.12_2",257,262.118842548479,1.98923,"C13H15N3O3"
"258_130.16_2",258,130.159229741902,2.007713,"C8H19N"
"259_261.13_2.1",259,261.131127840061,2.1020153,"C8H16N6O4"
"26_130.09_0.4",26,130.08646019119,0.44680312,"C6H11NO2"
"260_256.18_2.1",260,256.175572093476,2.105808,"C16H21BO2"
"261_284.21_2.1",261,284.206818674768,2.1094725,"C13H25N5O2"
"262_239.15_2.1",262,239.149057962393,2.1098678,"C10H22O6"
"263_261.14_2.2",263,261.144746903343,2.1942844,"C11H20N2O5"
"264_359.1_2.3",264,359.103620792708,2.3066554,"C13H24N2O5S"
"265_283.18_2.3",265,283.175089272022,2.3334868,"C12H26O7"
"266_300.2_2.3",266,300.201768080266,2.3334868,"C13H25N5O3"
"267_209.14_2.4",267,209.138406271691,2.36022,"C9H20O5"
"269_202.18_2.4",269,202.180259761269,2.4312758,"C11H23NO2"
"270_344.23_2.5",270,344.22802322741,2.522442,"C15H31N5O5"
"271_270.19_2.6",271,270.190993797655,2.605603,"C12H25N5O3"
"273_388.25_2.7",273,388.254175884604,2.6875873,"C17H33N5O5"
"275_227.08_2.7",275,227.084839764326,2.7482634,"C10H16N2O3S"
"276_290.15_2.7",276,290.153234251437,2.748996,"C20H19NO"
"277_267.08_2.7",277,267.077457799108,2.7490802,"C11H9FN6"
"278_245.1_2.7",278,245.095600461834,2.74958,"C10H16N2O3S"
"279_193.14_2.8",279,193.14358699529,2.758818,"C9H20O4"
"280_238.2_2.8",280,238.201319195201,2.7589884,NA
"282_432.28_2.8",282,432.280531730418,2.8316464,"C19H39N5O7"
"283_401.11_2.8",283,401.114255856646,2.838758,"C13H25N2O8PS"
"284_191.08_2.9",284,191.084931714791,2.8598714,"C7H14N2O2S"
"285_321.15_2.9",285,321.147884340296,2.8603036,"C13H24N2O5S"
"286_343.13_2.9",286,343.129858624746,2.8603036,"C13H24N2O5S"
"287_201.16_2.9",287,201.159847036535,2.912907,"C10H20N2O2"
"288_304.15_2.9",288,304.154385653445,2.9279153,"C17H21NO4"
"289_476.31_3",289,476.306807654792,2.9598567,"C21H41N5O7"
"290_356.19_3.2",290,356.185693265902,3.157219,"C21H25NO4"
"291_218.21_3.2",291,218.211528439577,3.2478714,"C12H27NO2"
"292_174.19_3.3",292,174.18533486402,3.2518163,"C10H23NO"
"293_335.22_3.4",293,335.222677532401,3.3556826,NA
