CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
2	6	-23.016	0.000	0.8490	0.5802	1
2	7	18.010	0.000	0.8051	0.6556	1
2	21	2.033	0.000	0.7248	0.5881	1
2	29	-15.978	0.000	0.7194	0.4358	1
3	4	23.016	0.000	0.7369	0.5179	1
3	8	41.027	0.000	0.7490	0.5290	1
4	5	41.026	0.000	0.7774	0.6357	1
4	6	2.033	0.000	0.7433	0.6476	1
4	8	18.011	0.000	0.8243	0.6210	1
4	9	90.964	0.000	0.7697	0.5945	1
4	16	-13.945	0.000	0.7416	0.5362	1
4	41	89.053	0.000	0.7498	0.5432	1
5	8	-23.016	0.000	0.7857	0.6454	1
5	12	-82.089	0.000	0.7176	0.5231	1
6	7	41.027	0.000	0.8134	0.7123	1
6	8	15.978	0.000	0.7246	0.7594	1
6	10	113.980	0.000	0.7385	0.6106	1
6	16	-15.977	0.000	0.8542	0.6969	1
7	10	72.954	0.000	0.8305	0.5643	1
7	21	-15.977	0.000	0.7869	0.7945	1
7	28	31.927	0.000	0.7772	0.3886	1
9	13	-0.915	0.000	0.7701	0.8184	1
9	16	-104.909	0.000	0.7322	0.5603	1
9	41	-1.912	0.000	0.9528	0.8580	1
10	28	-41.026	0.000	0.9484	0.7129	1
10	105	-23.077	0.000	0.7486	0.5171	1
10	516	2.907	0.000	0.7254	0.6202	1
10	524	2.907	0.000	0.7657	0.6276	1
11	12	18.011	0.000	0.7850	0.5653	1
11	22	-14.115	0.000	0.7295	0.5596	1
11	35	131.978	0.000	0.7089	0.4955	1
13	41	-0.997	0.000	0.8192	0.7281	1
14	316	0.893	0.000	0.8034	0.5272	1
15	22	-100.100	0.000	0.7759	0.7118	1
16	17	-72.954	0.000	0.9327	0.6995	1
16	18	-88.931	0.000	0.9348	0.7420	1
16	19	-202.912	0.000	0.7935	0.5718	1
16	21	41.026	0.000	0.8543	0.7700	1
16	29	23.016	0.000	0.9052	0.7804	1
16	38	-26.961	0.000	0.8180	0.6930	1
16	41	102.997	0.000	0.7357	0.5986	1
17	18	-15.978	0.000	0.9697	0.8304	1
17	19	-129.958	0.000	0.8410	0.6923	1
17	21	113.980	0.000	0.7873	0.6930	1
17	29	95.970	0.000	0.8800	0.6780	1
17	38	45.993	0.000	0.7778	0.6078	1
18	19	-113.980	0.000	0.8782	0.6866	1
18	21	129.958	0.000	0.8011	0.7280	1
18	29	111.947	0.000	0.8776	0.7044	1
18	38	61.970	0.000	0.8382	0.7199	1
19	29	225.928	0.000	0.7409	0.5403	1
19	38	175.951	0.000	0.7635	0.5999	1
21	29	-18.011	0.000	0.8501	0.6610	1
22	156	-14.886	0.000	0.7098	0.4127	1
22	157	88.048	0.000	0.7417	0.4965	1
23	81	-0.034	0.000	0.9112	0.8695	1
23	82	-0.000	0.000	0.9841	0.9246	1
23	100	1.034	0.000	0.8558	0.7158	1
23	105	-17.980	0.000	0.8880	0.8135	1
23	160	-16.959	0.000	0.7035	0.8284	1
23	210	0.997	0.000	0.8335	0.6438	1
23	218	1.034	0.000	0.7953	0.5031	1
23	230	-35.003	0.000	0.7010	0.6895	1
23	258	0.925	0.000	0.7896	0.5949	1
24	26	17.036	0.000	0.9376	0.8837	1
24	30	18.020	0.000	0.8513	0.8398	1
24	31	0.010	0.000	0.9192	0.7616	1
24	32	0.019	0.000	0.9655	0.7898	1
24	33	-0.987	0.000	0.9066	0.7720	1
24	36	-0.993	0.000	0.9091	0.8468	1
24	83	0.020	0.000	1.0000	1.0000	1
24	85	-0.987	0.000	0.9071	0.8093	1
24	87	0.000	0.000	0.9780	0.8517	1
24	94	-0.957	0.000	0.9004	0.8611	1
24	95	-129.876	0.000	0.7832	0.6163	1
24	99	0.046	0.000	0.9843	0.8672	1
24	100	17.072	0.000	0.9341	0.8861	1
24	101	-130.017	0.000	0.7729	0.6353	1
24	103	-0.950	0.000	0.9004	0.8611	1
24	104	-0.938	0.000	0.9044	0.8067	1
24	135	-42.001	0.000	0.8752	0.7450	1
24	160	-0.921	0.000	0.8278	0.6811	1
24	171	-0.974	0.000	0.7980	0.7752	1
24	206	0.019	0.000	0.9614	0.7450	1
24	208	0.000	0.000	0.9614	0.7450	1
24	210	17.036	0.000	0.9631	0.8636	1
24	216	0.046	0.000	0.9479	0.7319	1
24	217	-0.938	0.000	0.8921	0.7583	1
24	218	17.072	0.000	0.9435	0.8022	1
24	258	16.963	0.000	0.8925	0.8513	1
25	117	0.038	0.000	0.9190	0.8004	1
25	126	-0.464	0.000	0.8902	0.7975	1
25	143	0.038	0.000	0.8865	0.8315	1
25	152	0.065	0.000	0.8902	0.7823	1
25	203	-0.000	0.000	0.9172	0.8523	1
26	30	0.984	0.000	0.9743	0.8426	1
26	31	-17.026	0.000	0.9839	0.8590	1
26	32	-17.017	0.000	0.9288	0.7857	1
26	33	-18.023	0.000	0.9111	0.7651	1
26	34	-25.990	0.000	0.9443	0.6626	1
26	36	-18.029	0.000	0.9301	0.8653	1
26	39	-25.956	0.000	0.8801	0.6585	1
26	83	-17.016	0.000	0.9376	0.8837	1
26	85	-18.023	0.000	0.9226	0.8508	1
26	87	-17.036	0.000	0.9290	0.8258	1
26	90	-25.990	0.000	0.9403	0.6555	1
26	94	-17.993	0.000	0.9332	0.8922	1
26	95	-146.912	0.000	0.7858	0.5349	1
26	97	10.021	0.000	0.7977	0.7660	1
26	99	-16.990	0.000	0.9444	0.8336	1
26	100	0.036	0.000	0.8207	0.8418	1
26	101	-147.053	0.000	0.7766	0.5616	1
26	103	-17.986	0.000	0.9332	0.8922	1
26	104	-17.974	0.000	0.9148	0.7895	1
26	160	-17.957	0.000	0.8069	0.5981	1
26	171	-18.010	0.000	0.7698	0.6311	1
26	172	-2.016	0.000	0.8959	0.8146	1
26	210	0.000	0.000	0.8855	0.8207	1
26	216	-16.990	0.000	0.9299	0.7228	1
26	217	-17.974	0.000	0.9007	0.8692	1
26	218	0.036	0.000	0.8650	0.7779	1
26	230	-36.000	0.000	0.9240	0.6460	1
26	258	-0.073	0.000	0.7567	0.6795	1
29	38	-49.977	0.000	0.8200	0.6503	1
30	31	-18.010	0.000	0.8967	0.8322	1
30	32	-18.001	0.000	0.8577	0.7898	1
30	33	-19.007	0.000	0.8269	0.5362	1
30	36	-19.014	0.000	0.8406	0.5966	1
30	83	-18.001	0.000	0.8513	0.8398	1
30	85	-19.007	0.000	0.8400	0.6055	1
30	87	-18.020	0.000	0.8584	0.8134	1
30	94	-18.977	0.000	0.8468	0.6342	1
30	95	-147.896	0.000	0.7284	0.4663	1
30	99	-17.974	0.000	0.8641	0.8140	1
30	100	-0.948	0.000	0.8230	0.8082	1
30	101	-148.037	0.000	0.7224	0.4875	1
30	103	-18.970	0.000	0.8468	0.6342	1
30	104	-18.958	0.000	0.8334	0.5636	1
30	160	-18.941	0.000	0.7299	0.3898	1
30	206	-18.001	0.000	0.8765	0.7596	1
30	208	-18.020	0.000	0.8765	0.7596	1
30	210	-0.984	0.000	0.8775	0.7684	1
30	216	-17.974	0.000	0.8625	0.7982	1
30	217	-18.958	0.000	0.8140	0.6116	1
30	218	-0.948	0.000	0.8641	0.7529	1
30	258	-1.057	0.000	0.7595	0.6673	1
31	32	0.010	0.000	0.9154	0.6868	1
31	33	-0.997	0.000	0.8913	0.7172	1
31	36	-1.003	0.000	0.9080	0.8004	1
31	83	0.010	0.000	0.9192	0.7616	1
31	85	-0.997	0.000	0.8963	0.7500	1
31	87	-0.009	0.000	0.9161	0.7413	1
31	94	-0.967	0.000	0.9102	0.8299	1
31	95	-129.886	0.000	0.7926	0.4926	1
31	99	0.036	0.000	0.9311	0.7328	1
31	100	17.063	0.000	0.8181	0.8502	1
31	101	-130.027	0.000	0.7824	0.5070	1
31	103	-0.960	0.000	0.9102	0.8299	1
31	104	-0.948	0.000	0.8986	0.7504	1
31	135	-42.010	0.000	0.7963	0.7631	1
31	160	-0.930	0.000	0.7757	0.5621	1
31	171	-0.984	0.000	0.7414	0.6426	1
31	205	18.010	0.000	0.9137	0.7422	1
31	206	0.010	0.000	0.9476	0.7265	1
31	208	-0.010	0.000	0.9476	0.7265	1
31	210	17.026	0.000	0.8752	0.7936	1
31	216	0.036	0.000	0.9192	0.6645	1
31	217	-0.948	0.000	0.8743	0.7852	1
31	218	17.063	0.000	0.8625	0.7713	1
31	258	16.954	0.000	0.7436	0.5991	1
32	33	-1.007	0.000	0.8959	0.7547	1
32	36	-1.013	0.000	0.8856	0.7524	1
32	83	0.000	0.000	0.9655	0.7898	1
32	85	-1.007	0.000	0.8892	0.7517	1
32	87	-0.019	0.000	0.9685	0.7845	1
32	94	-0.976	0.000	0.8867	0.8140	1
