formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id	featureId
1	C4H8N2O4S	[M + K]+	C4H8N2O4S	0.8055276381909549	11.892633951490538	11.892633951490538	0.0	3	0.29143820224719097	0.05895271801560241	0.10121261856485693	-0.026650807355139448		218.98363	24.58	1_mapp_batch_00114_sirius_1	1
1	C6H4ClFO2S	[M + Na]+	C6H4ClFO2S	0.9999999999999999	13.443130691054836	13.443130691054836	0.0	7	0.14200317569040133	1.8783195345898316	2.3040954919306946	4.3928515415346405		216.95063	26.09	2_mapp_batch_00114_sirius_2	2
1	C8H10N4O2S	[M + K]+	C8H10N4O2S	0.9804020100502513	9.606149099370892	9.606149099370892	0.0	7	0.2457748005797168	0.6996039973799391	0.6996039973799391	0.2842847241036825		265.01568	24.63	3_mapp_batch_00114_sirius_3	3
1	C6H9N3O3S	[M + K]+	C6H9N3O3S	0.9592964824120603	21.849623388313404	21.849623388313404	0.0	6	0.35573400347588313	0.33780259271594126	0.5131763518887813	-0.0010251690281267319		241.99962	24.63	4_mapp_batch_00114_sirius_4	4
1	C4H6N2O3S	[M + K]+	C4H6N2O3S	0.9999999999999999	22.45722056777643	22.45722056777643	0.0	6	0.0992445113562267	0.09192034267513904	1.5988045140422582	0.1435411479263946		200.97310	24.85	5_mapp_batch_00114_sirius_5	5
1	C7H4ClNO5	[M + Na]+	C7H4ClNO5	0.9999999999999999	31.769457263115807	31.769457263115807	0.0	8	0.1278642432546224	-1.7184295132863212	1.7184295132863212	-2.0028129360320706		239.96654	26.09	6_mapp_batch_00114_sirius_6	6
1	C3H3ClN2O2S2	[M + H]+	C3H3ClN2O2S2	0.9999999999999999	6.6770002723451825	6.6770002723451825	0.0	3	0.01558152081322051	1.9079332644486724	1.9079332644486724	1.8926898572326467		198.94010	26.09	7_mapp_batch_00114_sirius_7	7
1	C6H7N3O2S	[M + K]+	C6H7N3O2S	0.6271356783919598	23.94658756566304	23.94658756566304	0.0	7	0.11093862115338621	0.14145084268862	1.2819427325779345	-1.0963230285204408		223.98881	25.27	8_mapp_batch_00114_sirius_8	8
1	C3H6N2O5	[M + H]+	C3H6N2O5	0.9999999999999999	17.187114586479055	17.187114586479055	0.0	4	0.3833020062142774	6.466447490854277	6.466447490854277	2.3322753653642256		151.03530	25.3	9_mapp_batch_00114_sirius_9	9
1	C3H5Cl2N	[M + H]+	C3H5Cl2N	0.9999999999999999	12.960093138132905	12.960093138132905	0.0	3	0.8872339115984209	-3.788546563967839	3.788546563967839	-5.722615672618137		125.98646	26.81	10_mapp_batch_00114_sirius_10	10
1	C16H13ClN2O2	[M + H]+	C16H13ClN2O2	0.9381909547738696	21.689461083306632	21.689461083306632	0.0	7	0.2663902600126748	-2.680424877022625	4.8308365255707635	-4.058117709558853		301.07261	25.73	11_mapp_batch_00114_sirius_11	11
1	C16H11ClN2O	[M + H]+	C16H11ClN2O	0.8477386934673368	45.23330077662132	45.23330077662132	0.0	14	0.47915824249567696	-1.8255001035563772	2.3205355985914684	-3.0279686042667495		283.06241	26.05	12_mapp_batch_00114_sirius_12	12
1	C4HO4	[M + K]+	C4HO4	0.3809045226130654	12.485847489339392	12.485847489339392	0.0	2	0.3034413281020048	-4.884825964902098	4.884825964902098	-5.078070093230336		151.94987	25.36	13_mapp_batch_00114_sirius_13	13
1	C3H4O4PS	[M - H2O + H]+	C3H2O3PS	0.5412060301507537	8.181441520311932	5.9917241707156075	2.1897173495963242	3	0.8963786303334529	-3.166624325745344	3.166624325745344	-120111.5689070703		149.95298	25.36	14_mapp_batch_00114_sirius_14	14
1	C8H11BFNO4	[M + H]+	C8H11BFNO4	0.9999999999999999	171.69846414075715	171.69846414075715	0.0	28	0.9510581469125445	2.714712214939525	2.714712214939525	1.7457796744035865		215.08780	26.05	15_mapp_batch_00114_sirius_15	15
1	C6H4Cl3N3O2	[M + H]+	C6H4Cl3N3O2	0.9999999999999999	33.03260621059195	33.03260621059195	0.0	8	0.5154364463716561	-0.5526031178622738	0.625155867026945	-0.2963931872971883		255.94411	26.09	16_mapp_batch_00114_sirius_16	16
