cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:A	ATTRIBUTE_group:GNPSGROUP:B	ATTRIBUTE_group:GNPSGROUP:C	ATTRIBUTE_group:GNPSGROUP:D
88	192.0656412515659	2.0028667		0.0	0.0	0.0	18022.8575
89	387.15525075405344	2.0048084		0.0	0.0	0.0	75743.44
90	260.2221586952378	2.0164833		18417.275	0.0	0.0	0.0
91	732.5556970747575	2.0165		0.0	24415.39	0.0	0.0
92	90.05521008709772	2.018329		399016.78750000003	96004.4825	107648.842	133726.45
93	116.03449897275075	2.0183501		77879.51875	0.0	0.0	0.0
94	184.09718631614984	2.0187883		318095.93	80432.11750000001	74330.57750000001	105712.375
95	220.11823245132572	2.019277		3713511.1500000004	885521.6024999999	975924.3875	1289062.8900000001
96	202.10778343964	2.019571		658789.7350000001	166219.20500000002	183418.91999999998	224933.1825
97	603.5349781700382	2.03349		0.0	0.0	57869.474	18487.72
98	136.06207237499817	2.0349777		0.0	0.0	31633.6385	70049.83249999999
99	298.09695889883494	2.0365114		144233.0625	162790.35499999998	239600.6175	302641.66250000003
100	747.5674838724004	2.03699		12581.621	0.0	42162.66	15798.49425
101	744.5543791432137	2.0382426		738601.115	599131.39	1077521.7875	818221.525
102	730.5414771415791	2.0442166		0.0	27081.9875	0.0	0.0
103	179.07006515178475	2.0631332		0.0	0.0	0.0	18023.96
104	308.22228181738666	2.0664666		0.0	16006.626	0.0	0.0
105	326.2327316632817	2.0664666		0.0	81534.345	0.0	0.0
106	344.2430390578545	2.0664666		0.0	30274.7975	0.0	0.0
107	719.5418042225544	2.0682335		450304.97	0.0	0.0	0.0
108	718.5384049351953	2.0693989		2071007.9999999998	1444865.7750000001	2341963.175	1662356.9500000002
109	577.51894210004	2.0699718		133069.975	92471.48624999999	151093.7485	108917.18100000001
110	721.5483965480781	2.0701		26248.591	0.0	43846.437	15089.56925
111	716.5239110677255	2.0716376		1687442.875	1048521.7999999999	1677852.25	1144135.94
112	362.25389890777626	2.0754833		0.0	39047.025	0.0	0.0
113	704.5237672132997	2.0849583		113730.61000000002	72163.275	0.0	0.0
114	690.5077960122247	2.0990622		3619612.925	3189189.075	3924827.8	3567251.275
115	693.5166997656577	2.0992599		94614.8235	81128.43000000001	102097.2325	80218.3565
116	549.488001553566	2.0996196		255261.2825	218044.5975	276828.9025	251711.29249999998
117	130.05041317326064	2.10935		0.0	0.0	0.0	21747.0125
118	245.1499842440704	2.10935		0.0	0.0	0.0	46396.09
119	676.4915655924491	2.1134667		45740.293000000005	40175.231	0.0	0.0
120	521.4573060916389	2.1282556		0.0	0.0	13109.1275	42150.070999999996
121	662.4761483989683	2.1300468		408780.8125	415827.8125	538662.215	713540.71
122	119.01636168230569	2.180425		0.0	0.0	0.0	72839.6415
123	137.02693881109082	2.180425		0.0	0.0	0.0	44549.8675
124	224.0918956064511	2.1825		0.0	0.0	0.0	12752.055
125	597.520522582681	2.2004666		0.0	29774.5475	67531.11499999999	12519.25675
126	296.0992423893651	2.20475		0.0	0.0	12922.53425	0.0
127	302.3058728432508	2.2228222		0.0	44985.4575	13728.38175	25640.055
128	370.1494153636745	2.2282166		26101.055	0.0	0.0	0.0
129	240.23268413977985	2.2326324		150011.06	129675.03	156236.16475	140820.7725
130	343.29596768589903	2.2326357		250264.8325	219547.14750000002	265820.1925	236767.205
131	232.19118808397704	2.24565		35546.5675	0.0	0.0	0.0
132	262.1662379906944	2.2591667		0.0	0.0	0.0	14669.413
133	244.154804766629	2.2647612		0.0	0.0	0.0	86843.15974999999
134	420.3226174153508	2.2655833		0.0	0.0	20321.07	0.0
135	274.274698896834	2.2892666		0.0	0.0	0.0	14458.8125
136	180.08825036019462	2.2899156		91149.78624999999	86304.025	61743.10725	84539.14749999999
137	130.05031376847668	2.2934334		0.0	0.0	0.0	115771.85250000001
138	214.10783512411763	2.2934334		0.0	0.0	0.0	71830.22
139	231.1346103824974	2.2937708		0.0	0.0	0.0	332122.45875
140	253.11654624616563	2.2937708		0.0	0.0	0.0	144994.88
141	575.5040109581392	2.3161466		0.0	0.0	76287.44499999999	17544.37
142	345.2754380267918	2.31655		0.0	0.0	0.0	20803.2575
143	272.0955215505232	2.3261833		0.0	0.0	0.0	17524.95125
144	577.5185239731248	2.32795		0.0	0.0	43032.567749999995	16369.246
145	453.34386337533607	2.3352165		0.0	0.0	0.0	77068.14
146	392.2910232421889	2.3378315		68477.025	0.0	43830.51775	54606.4925
147	549.4877426176243	2.339239		0.0	0.0	33057.52625	20689.0275
148	226.2169092628754	2.3409572		186223.5835	50255.5775	166939.27425000002	131786.8025
149	244.2275818312584	2.34165		0.0	0.0	14020.36825	0.0
150	252.23260264810955	2.3417		14503.84	0.0	0.0	12766.21575
151	334.22271194225925	2.3458333		0.0	0.0	14422.35	0.0
152	425.19247167880894	2.3649166		0.0	0.0	0.0	15532.2525
153	116.07087604190828	2.3800416		0.0	0.0	0.0	38928.05275
154	195.07663077573764	2.3800416		0.0	0.0	0.0	56794.52875
155	366.2753114219045	2.3942978		47380.555	0.0	36355.6075	44889.822
156	298.2018303303602	2.4109166		0.0	16999.54	0.0	0.0
157	522.3558923076579	2.4203908		450007.95499999996	343566.3775	746872.71	562780.9974999999
158	364.2600511175512	2.4216633		65727.715	278269.95	0.0	31934.9675
159	224.20127579661167	2.446779		106941.561	0.0	37837.085	66114.96125
160	162.05525597807596	2.4476833		0.0	0.0	0.0	146007.7025
161	478.1550424359504	2.45555		0.0	0.0	0.0	12642.2255
162	193.05006006025897	2.4718		0.0	0.0	0.0	67710.5675
163	218.13899788611	2.4786956		0.0	0.0	143218.1825	36882.2425
164	520.3404049688696	2.4889998		117925.02	45963.8835	112176.9	36216.825
165	613.5154700801615	2.4897332		0.0	13360.61325	22935.55	0.0
166	523.3590362286142	2.49355		39612.34	0.0	0.0	0.0
167	202.10789987028892	2.4978833		0.0	0.0	0.0	19986.25
168	251.1030029980864	2.5075333		0.0	0.0	0.0	18388.2575
169	413.3486069935388	2.5097167		0.0	0.0	12727.3085	0.0
170	339.24712715944634	2.5167665		0.0	57058.95	0.0	0.0
171	338.24449212552184	2.5172043		57479.259000000005	244585.15	0.0	0.0
172	483.111652597197	2.5231166		0.0	0.0	0.0	13759.86325
173	265.1185704572172	2.5250168		0.0	0.0	0.0	32062.90575
174	411.3336190918018	2.5252419		29437.355499999998	0.0	21176.621	20154.205
175	197.0921679742472	2.5254002		16330.15925	18094.2325	0.0	0.0
176	478.1556452386672	2.5298417		0.0	0.0	0.0	49516.335999999996
177	494.32485591802856	2.5300875		386182.1475	354718.4275	792340.2949999999	606235.9275000001
178	443.1187093618849	2.5301611		0.0	0.0	0.0	83819.7505
179	689.5589588277625	2.5337596		182550.35749999998	164779.09	334619.5925	189156.0975
180	247.07930005594483	2.5355625		29946.96775	0.0	0.0	54771.9475
181	497.343363562108	2.5394683		78442.16125	0.0	128707.1075	74602.8575
182	496.3389587325058	2.5396981		262828.8825	93013.30374999999	441198.57	300145.975
183	336.2291236545653	2.5545332		0.0	89661.61	0.0	0.0
184	662.5319932933614	2.56195		0.0	96084.56599999999	0.0	0.0
185	661.5284574158622	2.5634968		313077.9275	219601.8775	468404.47500000003	326792.17625
186	121.0397711514983	2.57792		0.0	27634.791	14287.9335	34187.2465
187	139.05056192122407	2.5783281		189745.8175	318069.47750000004	235982.0625	385557.6125
188	385.3174709275464	2.5804834		29836.40325	0.0	15088.3125	0.0
189	324.22909471441915	2.6017666		0.0	12685.2425	0.0	0.0
190	633.4966977291035	2.6043148		45564.2865	0.0	66092.53975	57387.97
191	383.30227298825474	2.606875		32962.801	0.0	0.0	0.0
192	659.5130456509684	2.6081488		116803.7745	85616.2325	136323.5825	100528.3445
193	230.13911484763307	2.6136944		0.0	0.0	0.0	122831.455
194	106.05015541542662	2.6138833		0.0	0.0	0.0	24753.42
195	248.1496347265092	2.6138833		0.0	0.0	0.0	14546.9925
196	468.3086877549692	2.621926		26353.4825	0.0	139693.5515	85707.4725
197	631.481403822254	2.6391041		15559.93	0.0	13669.5225	30570.416250000002
198	239.10055235658857	2.6412458		0.0	0.0	0.0	150721.1325
199	200.09206391616868	2.6483917		0.0	0.0	0.0	96254.82475
200	217.1184100308352	2.6494224		0.0	0.0	35792.838	253011.885
201	130.05025610139506	2.6495366		0.0	0.0	18401.765	206205.071
202	84.04465555446754	2.6596334		0.0	0.0	0.0	18142.2625
203	137.04606303385032	2.678146		92689.72525000002	83618.79000000001	61708.3725	99926.48874999999
204	357.28647022894944	2.6819832		24063.6835	0.0	0.0	0.0
205	121.0286500910214	2.6882446		25235.99	0.0	21839.755	25799.13875
206	310.2134287357433	2.7050166		0.0	28236.3085	0.0	0.0
207	310.14814177791544	2.7075002		44993.4725	32579.834	38287.525	0.0
208	293.1216492689883	2.7080362		70452.1325	93504.275	184986.99250000002	0.0
209	380.151823663666	2.7080362		23899.9875	39603.2475	61497.36	0.0
210	227.0707158876572	2.7083068		18297.2225	28942.1475	30771.513249999996	0.0
211	301.1076763553443	2.7085366		36265.7425	27894.49	93614.0875	0.0
212	336.14495278850984	2.7085552		97991.9125	150110.5075	169726.0225	96681.1725
213	236.11152722936188	2.7085834		15155.545	0.0	0.0	0.0
214	379.1549779934392	2.7096307		21795.5525	37624.494999999995	56196.241500000004	0.0
215	339.28990989550084	2.7142835		0.0	0.0	15978.295	15113.22375
216	160.13366245972747	2.719792		0.0	0.0	85932.359	0.0
217	192.15978033274789	2.7249799		34901.075	70710.75875000001	135207.485	159386.03
218	386.14475058593285	2.7279358		140762.24599999998	42250.396	13809.62	0.0
219	344.254334986537	2.7327166		0.0	0.0	0.0	18773.98625
220	493.2816893115751	2.7713332		0.0	17034.3775	0.0	0.0
221	480.3086275862751	2.7792156		179249.625	89455.22750000001	217113.9675	131126.19
222	152.07079681083317	2.7807333		0.0	0.0	0.0	28009.8965
223	194.0811207418994	2.7807333		0.0	0.0	0.0	17879.79875
224	181.06111563507784	2.7888057		30413.2285	0.0	13122.54	49217.5
225	311.2587542717304	2.7925		0.0	0.0	14141.38175	0.0
226	245.1863780943737	2.8209999		17617.7175	0.0	0.0	41445.73375
227	452.27768785621646	2.8256571		72581.8775	68953.489	128853.58	84286.69625000001
228	436.2829699282957	2.8491433		0.0	0.0	50914.13125	38006.8875
229	454.2932965912897	2.8509643		353622.31	91086.726	548167.8375	400527.981
230	455.2968724606498	2.8509667		17084.6125	0.0	74338.02	0.0
231	907.5784089645553	2.85475		0.0	0.0	42265.54175	27649.1625
232	115.05045872765622	2.8649333		0.0	0.0	14493.4075	0.0
233	136.06217208010517	2.8734953		0.0	84002.16500000001	30443.519500000002	72754.54250000001
234	285.09724501280954	2.900375		0.0	0.0	0.0	46322.600000000006
235	482.1873785575609	2.9019125		0.0	0.0	0.0	184465.33625
236	313.15510259606515	2.9054418		27824.72625	0.0	0.0	0.0
237	486.2548219914122	2.9164667		0.0	0.0	0.0	16291.7875
238	426.2619706900024	2.9343584		0.0	0.0	35525.1285	41785.498
239	104.10737904604542	2.9409032		2537913.1	1641751.45	2387919.975	3981787.55
240	289.17517147700084	2.9452581		0.0	0.0	0.0	101296.26999999999
241	60.08106630657864	2.94575		0.0	0.0	0.0	56786.55725
242	111.05558873645296	2.9477		0.0	13108.69925	0.0	0.0
243	271.1655757463224	2.9496613		0.0	0.0	0.0	102260.11249999999
244	311.1580556196897	2.9589		0.0	0.0	0.0	40284.995
245	137.0462600472958	2.9682038		475591.83749999997	659043.7975000001	197514.735	174801.8175
246	294.1010705351293	2.9769835		0.0	0.0	16380.40125	13029.8545
247	268.1046078590501	2.981703		382999.43000000005	475773.05500000005	725521.6699999999	803851.03
248	312.1114691561032	2.9819832		0.0	14004.885	26760.54	33323.2935
249	136.0620908526033	2.983473		115432.885	136387.14025	213844.0925	230831.04499999998
250	85.02870938804126	2.9871833		0.0	14450.86325	82803.8575	87310.275
251	145.04977316280622	2.9892519		0.0	30388.627	94452.60999999999	99685.89
252	204.1231615419236	2.990421		0.0	649772.2625	2007981.15	1864230.3
253	408.2493837574213	3.0017333		12626.19625	0.0	0.0	0.0
254	282.18169759134327	3.0081334		0.0	0.0	0.0	60250.7375
255	720.5205322249632	3.0256333		0.0	0.0	13475.083	0.0
256	267.08031149044683	3.04045		15005.42375	0.0	0.0	0.0
257	279.1703750124419	3.041353		68836.435	0.0	14236.6015	78302.2525
258	354.1188347368643	3.0418		0.0	50517.82125	0.0	0.0
259	788.54373297567	3.046561		0.0	0.0	29471.903250000003	22375.754
260	760.5128271146571	3.0589333		0.0	0.0	0.0	17776.04875
261	144.06565271823038	3.0658834		0.0	12961.21575	0.0	32545.44875
262	227.10271820577407	3.0685248		0.0	0.0	0.0	34062.33375
263	427.1215682792895	3.0686166		0.0	0.0	0.0	54161.0625
264	184.0734268693313	3.0686667		0.0	0.0	0.0	15077.13675
265	113.0349530823352	3.06965		15595.579	0.0	0.0	0.0
266	405.1393923221572	3.0719333		0.0	0.0	0.0	12984.3625
267	422.166163145348	3.0719333		0.0	0.0	0.0	15578.04875
268	377.1461680328103	3.088608		100944.63175	100913.37625	201081.6025	0.0
269	151.03935255496452	3.0943167		0.0	0.0	0.0	15992.03125
270	476.2187570727438	3.09605		48622.005000000005	0.0	0.0	0.0
271	608.1820420086508	3.0976417		0.0	0.0	0.0	34129.161
272	435.1276177623541	3.1216083		0.0	0.0	0.0	26507.28125
273	295.10281172567693	3.1224387		0.0	0.0	0.0	60834.35675
274	265.128379335456	3.123		0.0	0.0	0.0	14209.0875
275	301.2237086284935	3.123		0.0	0.0	0.0	12668.666
276	414.19702460716127	3.1244042		0.0	0.0	0.0	346622.775
277	419.1524946586025	3.1244042		0.0	0.0	0.0	231984.81374999997
278	509.1266905678315	3.1311333		0.0	0.0	0.0	60661.85
279	193.0499329536386	3.1319888		0.0	0.0	0.0	259784.16499999998
280	575.5040854611451	3.1348374		0.0	0.0	43439.11575	27421.4975
281	180.10215860370374	3.142817		260957.34999999998	0.0	16521.615	0.0
282	387.2123985982632	3.14475		12959.788	0.0	0.0	0.0
283	121.06519062047752	3.1464834		122657.5	0.0	0.0	0.0
284	138.091445275252	3.1542666		43521.625	0.0	0.0	0.0
285	342.15468306038304	3.1542666		14739.3375	0.0	0.0	0.0
286	364.1366286295379	3.1542666		51998.47	0.0	0.0	0.0
287	380.1106916754269	3.1542666		14614.365	0.0	0.0	0.0
288	231.17057404462312	3.1544998		19880.8925	0.0	0.0	36516.825
289	184.06716521200235	3.1587334		0.0	0.0	13938.374	0.0
290	549.4876826086922	3.1627		0.0	0.0	0.0	17435.6915
291	229.1549944288649	3.1653666		0.0	21294.665	0.0	0.0
292	524.1766466573347	3.1655		15581.083	0.0	0.0	0.0
293	288.1266036072975	3.16735		0.0	0.0	0.0	40251.825
294	137.04604719424194	3.1850863		109689.605	78574.306	13008.43	66478.916
295	184.073412036078	3.1878748		0.0	0.0	0.0	31523.6075
296	455.1162271749139	3.19745		0.0	0.0	0.0	265218.8175
297	471.0904727182909	3.19745		0.0	0.0	0.0	62834.8
298	450.1613103043159	3.21337		16032.32	0.0	0.0	2557695.575
299	147.04445946649267	3.2136626		0.0	0.0	0.0	237464.60000000003
300	193.05009750334648	3.2136626		0.0	0.0	0.0	308429.575
301	235.06023677417824	3.2136626		0.0	0.0	0.0	344256.2425
302	253.0710324314336	3.2136626		0.0	0.0	0.0	414504.5425
303	415.123407431637	3.2136626		0.0	0.0	0.0	471165.4725
304	119.04947263447556	3.2142334		0.0	0.0	0.0	48184.17775
305	166.07268049465767	3.223345		87885.7535	101709.20850000001	141235.4625	62365.565749999994
306	146.1178579507888	3.2327998		31694.1805	76201.3325	105308.50749999999	36257.870500000005
307	326.20802613566894	3.2395		0.0	0.0	19925.665	33685.0795
308	202.10764535432764	3.2420833		0.0	0.0	0.0	50709.055
309	186.0764726153897	3.266731		71021.71575	16530.795	29021.1855	24165.535
310	203.10303267946173	3.268818		113934.5475	77607.07	58993.55100000001	37661.485
311	261.13362144659044	3.2718666		0.0	0.0	0.0	16397.78
312	288.1267825672323	3.2755916		0.0	0.0	0.0	41754.082500000004
313	225.0849105722214	3.2757878		334252.1875	258545.95	234416.71749999997	120936.31
314	84.04463960750147	3.2799222		80725.695	45154.4685	35294.00125	27996.6575
315	130.05021318705522	3.284903		243580.27749999997	188536.79	158582.28625	158213.91999999998
316	286.0860876323636	3.2852833		17280.65	27895.584	0.0	15685.245
317	263.1430570716905	3.2870834		0.0	0.0	0.0	12863.045
318	167.09332163350558	3.2938752		59063.205	70531.6435	64395.185000000005	26170.2575
319	271.0928312524355	3.2987		0.0	0.0	0.0	15793.1895
320	398.2022413662169	3.2994373		0.0	0.0	0.0	422751.77125
321	403.1578439145303	3.2994373		0.0	0.0	0.0	194150.92075
322	419.1314657479864	3.2998166		0.0	0.0	0.0	28048.57875
323	249.13348963023543	3.3009334		0.0	0.0	0.0	16639.2025
324	295.10299109187696	3.3149555		0.0	0.0	0.0	91264.91625
325	421.111968279257	3.3452334		0.0	0.0	0.0	12785.794
326	400.18193747837233	3.3453999		0.0	0.0	0.0	151241.68
327	405.137780630214	3.3453999		0.0	0.0	0.0	196833.57
328	112.0506865440108	3.3684833		0.0	0.0	0.0	14120.64
329	403.15780845918295	3.3719332		0.0	0.0	0.0	13216.27
330	379.23404804576114	3.3809917		47634.39750000001	0.0	0.0	0.0
331	265.1548810494593	3.3866415		25710.435	0.0	0.0	13575.541
332	239.05541713899203	3.4136333		0.0	0.0	0.0	31918.851000000002
333	401.1080771494617	3.4136333		0.0	0.0	0.0	30748.13175
334	436.1455826692329	3.4157457		0.0	0.0	0.0	159998.044
335	441.1013837857482	3.4157457		0.0	0.0	0.0	90933.1775
336	420.1873203379356	3.4244833		0.0	0.0	0.0	15101.2925
337	297.05849415174976	3.4340832		0.0	0.0	0.0	13031.36425
338	158.0815977544879	3.4735916		79794.2405	90495.56599999999	96001.36000000002	17053.875
339	222.0796903931445	3.4760475		29853.76575	36989.9025	63867.428	0.0
340	244.0619289049756	3.4774334		29555.613250000002	38275.1025	73780.54250000001	0.0
341	152.05705970645778	3.4801667		12928.98625	15295.64	13155.78125	29593.38825
342	114.06645000465213	3.4986832		0.0	0.0	0.0	18870.265
343	184.0733502300588	3.5008416		0.0	0.0	0.0	29601.91025
344	226.0712476201033	3.507561		18523.0	0.0	35108.1925	30509.2
345	275.11020187264535	3.5091333		0.0	0.0	0.0	19489.8875
346	150.077719803758	3.5095956		105556.035	243095.7175	93752.43974999999	169252.67124999998
347	121.02871560807472	3.5118065		55747.6325	0.0	85709.2025	55647.3625
348	314.0920401632165	3.5141368		51646.92999999999	70966.53749999999	0.0	21321.945
349	254.1503705963163	3.5291002		0.0	0.0	0.0	78341.634
350	188.09218582454704	3.5464833		0.0	0.0	0.0	192739.03
351	441.10075808587	3.5477		0.0	0.0	0.0	13374.885
352	126.06658366333988	3.56715		0.0	45531.145000000004	0.0	34038.0425
353	193.0499660615103	3.568275		0.0	0.0	0.0	35499.6095
354	509.1268471210921	3.5696		0.0	0.0	0.0	16543.459
355	273.1924360102437	3.59855		0.0	0.0	0.0	13638.8505
356	146.11789155078884	3.6263416		0.0	0.0	0.0	34161.61749999999
357	121.02861808731168	3.63045		0.0	0.0	21888.9525	20575.9575
358	267.0978392731412	3.641147		0.0	0.0	130499.64450000001	71068.025
359	289.07998530943706	3.641147		0.0	0.0	138922.9845	68469.05
360	229.09762733537252	3.6488914		14544.086	0.0	0.0	18512.6325
361	184.06714158825287	3.6490166		0.0	0.0	14367.34375	0.0
362	345.14457181025284	3.6615334		0.0	0.0	0.0	12999.3965
363	229.155055166632	3.6721416		0.0	0.0	0.0	88599.705
364	116.0709057807381	3.6730332		0.0	0.0	0.0	20590.8165
365	245.186450719246	3.6730332		0.0	0.0	0.0	13042.5175
366	263.13947457100403	3.68265		0.0	0.0	0.0	16353.625
367	736.5369465752815	3.6860666		0.0	21826.04	0.0	0.0
368	822.2669453976098	3.6890833		0.0	0.0	0.0	79895.594
369	393.2232963012218	3.6906		0.0	0.0	0.0	12608.1975
370	403.2079935323815	3.6979723		128391.55275	51032.354999999996	41760.115000000005	52851.179000000004
371	380.1316441282872	3.6984606		299901.655	175591.055	164391.99	200036.74000000002
372	396.105787990523	3.6996098		78848.8095	31024.69325	29454.978499999997	31437.32675
373	358.15008261928534	3.700255		147877.26249999998	48780.75625	53398.181	76817.06575
374	715.2921269848689	3.70055		36354.8075	0.0	0.0	0.0
375	586.2969218982372	3.70185		0.0	0.0	0.0	25924.795
376	154.0865718831087	3.7024577		298913.305	108261.2025	107330.98375000001	140877.31
377	196.0974184306371	3.7026405		1235297.1400000001	493816.59750000003	442166.4725	573865.095
378	626.2305031372268	3.7172885		233040.315	73187.8175	65441.5825	138929.68625
379	248.14964149746305	3.7340918		0.0	0.0	0.0	48914.887
380	137.04638286002287	3.73689		0.0	267733.15	513833.5625	772639.5249999999
381	269.0883459776456	3.7376149		377296.1275	295543.89749999996	293047.8975	479059.32999999996
382	537.1693338598775	3.7384422		282008.9975	218931.46250000002	226780.54499999998	383967.965
