CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
200	243	5	0.7818	-54.047
42	173	5	0.8005	8.063
118	173	5	0.8888	-19.969
173	200	5	0.8548	48.000
224	315	5	0.7865	51.011
315	431	5	0.8396	-2.052
315	845	5	0.8047	-0.037
611	616	5	0.8867	30.011
611	688	5	0.8165	28.032
633	679	5	0.7904	-11.944
641	679	5	0.7985	-11.944
457	507	5	0.9017	70.099
261	462	5	0.848	-0.000
146	171	5	0.9257	54.047
158	171	5	0.9808	26.016
170	171	5	0.9665	1.003
171	183	5	0.9634	2.015
171	349	5	0.9362	84.094
171	579	5	0.9286	126.141
42	200	5	0.934	56.063
118	200	5	0.946	28.032
461	512	5	0.8536	-7.969
579	618	5	0.8946	-15.994
146	183	5	0.9027	56.062
158	183	5	0.9536	28.031
170	183	5	0.9522	3.018
183	349	5	0.9137	82.079
183	579	5	0.916	124.126
158	579	5	0.9344	152.157
170	579	5	0.8958	127.144
349	579	5	0.926	42.047
224	419	5	0.7934	14.974
224	431	5	0.7954	48.959
419	431	5	0.8414	33.984
419	833	5	0.8875	10.009
146	158	5	0.8985	28.031
146	170	5	0.8788	53.044
146	349	5	0.8848	138.141
431	461	5	0.8631	2.016
431	630	5	0.7864	0.036
431	833	5	0.802	-23.975
431	845	5	0.8673	2.015
158	349	5	0.9336	110.110
170	349	5	0.913	85.097
633	641	5	0.9453	-0.000
641	795	5	0.805	-83.037
705	833	5	0.802	113.084
158	170	5	0.9535	25.013
616	819	5	0.8179	-14.016
42	118	5	0.9352	28.032
633	795	5	0.8086	-83.037
799	822	6	0.8023	0.000
99	258	6	0.8601	-56.022
258	371	6	0.8073	-26.013
258	434	6	0.818	49.032
258	741	6	0.8012	68.027
66	281	6	0.8776	15.995
281	285	6	0.785	-162.053
281	344	6	0.872	-45.969
281	377	6	0.9163	-15.995
510	733	6	0.8179	30.058
99	700	6	0.7993	31.937
434	700	6	0.8103	38.926
700	701	6	0.781	-0.000
700	741	6	0.8048	-19.932
319	398	6	0.819	11.989
398	702	6	0.8317	-116.011
501	502	6	0.7977	-243.086
223	516	6	0.7928	-90.018
247	516	6	0.9394	-15.995
319	516	6	0.8573	-13.007
381	516	6	0.9151	-15.011
421	516	6	0.8176	6.971
425	516	6	0.9408	-15.011
501	516	6	0.8852	-40.006
516	522	6	0.8712	1.979
698	799	6	0.8266	-162.053
799	812	6	0.8454	0.000
99	434	6	0.9106	-6.990
371	434	6	0.8448	75.045
434	701	6	0.8197	38.926
434	741	6	0.9708	18.994
434	744	6	0.7853	-60.020
434	749	6	0.8734	-17.064
434	774	6	0.7956	-192.062
66	738	6	0.8617	-120.043
373	738	6	0.8405	42.010
377	738	6	0.8662	-120.042
381	738	6	0.8267	-47.051
382	738	6	0.7881	221.030
425	738	6	0.8141	-47.051
725	738	6	0.9222	0.000
560	561	6	0.9439	-15.974
560	562	6	0.9375	21.982
371	774	6	0.7906	-117.017
510	554	6	0.8398	4.006
510	655	6	0.9115	28.031
510	681	6	0.8188	28.032
378	417	6	0.8743	89.062
382	417	6	0.8656	0.000
417	425	6	0.8074	268.081
599	681	6	0.7854	14.016
655	681	6	0.8678	0.000
370	374	6	0.8807	-312.084
174	599	6	0.793	180.188
