	A_vs_B_fold_change_log2	A_vs_B_p_value	A_vs_C_fold_change_log2	A_vs_C_p_value	A_vs_D_fold_change_log2	A_vs_D_p_value	B_vs_C_fold_change_log2	B_vs_C_p_value	B_vs_D_fold_change_log2	B_vs_D_p_value	C_vs_D_fold_change_log2	C_vs_D_p_value
N-myristoylglycinate	0.321928094887362	0.514606724284755	0	1	0	1	-0.321928094887362	0.514606724284755	-0.321928094887362	0.514606724284755	0	1
lauramidopropyl betaine	-0.0813924168064839	0.986967386339369	0.0395292894038228	0.998242868737262	-0.0352003616251626	0.998848309439136	0.120921706210307	0.958163386771125	0.0461920551813214	0.997623203260057	-0.0747296510289853	0.988914998831644
concanavalin A	-0.30965066338386	0.818894477636138	-0.0763434063458606	0.995313359878026	0.0122774315035021	0.999978101588444	0.233307257038	0.917134660043449	0.321928094887362	0.799509050601922	0.0886208378493625	0.992640740168394
3-Mercaptoheptyl acetate	0	1	0.805252243493974	0.000105958206544243	0	1	0.805252243493974	0.000105958206544132	0	1	-0.805252243493974	0.000105958206544132
Hydroxyphenylpyruvic acid	0	1	0	1	0.321928094887362	0.514606724284755	0	1	0.321928094887362	0.514606724284755	0.321928094887362	0.514606724284755
choline	-0.313563374472901	0.0893880774363185	-0.0479586916774682	0.97034820462844	0.394777857361999	0.00551759975023347	0.265604682795432	0.181794012782782	0.7083412318349	8.92588447477527e-05	0.442736549039467	0.00261305334110962
2,3-dimethylsuccinic acid	0.0611407972518445	0.995119749677553	0.544670028520023	0.110362390491714	0.485503261473495	0.183726792816033	0.483529231268179	0.161331617297256	0.424362464221651	0.261174864970704	-0.0591667670465283	0.988144438507319
O-3-methylglutarylcarnitine	0.24207795168433	0.623340156326507	0.663801707278059	0.00949874762446123	0.624200701566726	0.0157065878740205	0.421723755593729	0.079950889734147	0.382122749882395	0.128680948225666	-0.0396010057113331	0.991260310819185
lorcainide	-0.321928094887362	0.514606724284755	-0.321928094887362	0.514606724284755	-0.321928094887362	0.514606724284755	0	1	0	1	0	1
Polidronium chloride	0	1	0.000915885536836967	0.999999982333055	0.321928094887362	0.514609293530878	0.000915885536836967	0.999999982333055	0.321928094887362	0.514609293530878	0.321012209350525	0.516633534494002
N-[tris(hydroxymethyl)methyl]-3-aminopropanesulfonic acid	0.339888085766451	0.323227595079863	0.733245478255527	0.00369188248638752	0.0870565184610773	0.974039011929499	0.393357392489076	0.0823664960329722	-0.252831567305373	0.538215381054933	-0.64618895979445	0.00758863582409297
5-amino-1-[3,4-dihydroxy-5-(hydroxymethyl)-2-oxolanyl]-4-imidazolecarboxamide	0	1	0	1	0.321928094887362	0.514606724284755	0	1	0.321928094887362	0.514606724284755	0.321928094887362	0.514606724284755
creatine	0	1	0	1	0.321928094887362	0.514606724284755	0	1	0.321928094887362	0.514606724284755	0.321928094887362	0.514606724284755
phosphocholine	0	1	0	1	0.406642888490273	0.25834751401303	0	1	0.406642888490273	0.25834751401303	0.406642888490273	0.25834751401303
(2-methyl-3-phenylpropoxy)sulfonic acid	-0.487884153622215	0.00579984772010389	-0.532353379773483	0.00337387790982424	-0.423801654568533	0.0132304604567587	-0.0444692261512673	0.988396616941768	0.0640824990536827	0.963268900656403	0.10855172520495	0.856826800164215
3-Hydroxy-2-[[3-(3-hydroxy-6-methyloctanoyl)oxy-8-methylnonanoyl]amino]propanoic acid	0	1	0	1	0.321928094887362	0.514606724284755	0	1	0.321928094887362	0.514606724284755	0.321928094887362	0.514606724284755
9-Hydroxyoctadeca-2,4-dienoic acid	0	1	0	1	0.530807360843493	0.101796860587876	0	1	0.530807360843493	0.101796860587876	0.530807360843493	0.101796860587876
