	A_vs_B_fold_change_log2	A_vs_B_p_value	A_vs_C_fold_change_log2	A_vs_C_p_value	A_vs_D_fold_change_log2	A_vs_D_p_value	B_vs_C_fold_change_log2	B_vs_C_p_value	B_vs_D_fold_change_log2	B_vs_D_p_value	C_vs_D_fold_change_log2	C_vs_D_p_value
3-phenyl-3-(1-tetrazolyl)propanoic acid	-0.155585008403389	0.642746167623392	-0.063403300697098	0.957166756796123	0.361021690249638	0.0273019430611761	0.0921817077062905	0.898592238834675	0.516606698653027	0.00344753698740885	0.424424990946736	0.0113425809381246
oxyfenamate	-0.0524878385764381	0.986065863037774	-0.077782287234692	0.958395763529075	0.488791368743903	0.0114419795248368	-0.0252944486582538	0.998501342188163	0.541279207320341	0.00636240869622262	0.566573655978595	0.00484464363013382
etilamfetamine	-0.151285651249208	0.674731951150916	-0.0661220308620467	0.954685765731259	0.357740702175254	0.0325952250348988	0.0851636203871617	0.921867032585168	0.509026353424462	0.00449920014413308	0.4238627330373	0.0132995483615973
3-O-caffeoyl-2-(2-butyl)-2-hydroxybutanedioic acid	0	1	0	1	0.321928094887362	0.514606724284755	0	1	0.321928094887362	0.514606724284755	0.321928094887362	0.514606724284755
isoamyl acetate	-0.414926780557749	0.0217163729027119	0.257077406586281	0.080476226711294	-0.496103963959588	0.00807498704333653	0.67200418714403	0.000255012452174297	-0.081177183401839	0.940289879137336	-0.753181370545869	0.000111584406665366
9,14-dihydroxyhexadecanoate(1-)	-0.0396788556596018	0.946264800995585	-0.0315642207269187	0.971367671889249	0.787823445374852	2.80163521271248e-08	0.00811463493268324	0.999493647179986	0.827502301034454	1.84849962003852e-08	0.819387666101771	2.00759712187804e-08
methyl 4-hydroxypiperidine-3-carboxylate	0	1	0	1	0.893701231818054	1.13518676458924e-07	0	1	0.893701231818054	1.13518676458924e-07	0.893701231818054	1.13518676458924e-07
(4-hydroxy-3-nitrophenyl)acetyl group	-0.05210509346607	0.994777509736408	0.184984671221164	0.789006206659758	0.568485418586682	0.0287049438575948	0.237089764687234	0.654179889726156	0.620590512052752	0.0188015531233386	0.383500747365518	0.139400161063501
thiofanox	-0.569768150642972	0.0826191882776016	-0.649024863627065	0.049925061908942	-0.0688346404467102	0.980154830651755	-0.0792567129840935	0.990584668554105	0.500933510196261	0.154330640194811	0.580190223180355	0.095517932839974
dimyristoyl phosphatidylcholine	0	1	0.144831990430068	0.944694198117443	0.321928094887362	0.578446732072357	0.144831990430068	0.944694198117443	0.321928094887362	0.578446732072357	0.177096104457295	0.873906384927388
7,8-dihydroxy-4-methyl-1-benzopyran-2-one	0	1	0	1	0.6798809257322	0.000958535813472161	0	1	0.6798809257322	0.000958535813472161	0.6798809257322	0.000958535813472161
N-acetylmethioninate	0	1	0	1	0.547927974016273	0.0843977245776226	0	1	0.547927974016273	0.0843977245776226	0.547927974016273	0.0843977245776226
N-[(2S,3R,6S)-6-[2-[(3,4-dichlorophenyl)methylamino]-2-oxoethyl]-2-(hydroxymethyl)-3,6-dihydro-2H-pyran-3-yl]-3-pyridinecarboxamide	-0.378206510990815	0.370557743123232	-0.378206510990815	0.370557743123232	-0.171966085970942	0.842596970484382	0	1	0.206240425019873	0.822058956075651	0.206240425019873	0.822058956075651
isobutyric acid	0	1	0	1	0.481814193689496	0.153047008672353	0	1	0.481814193689496	0.153047008672353	0.481814193689496	0.153047008672353
cis-dihomoaconitic acid	0.212413253400981	0.645096512975162	0.257689043874865	0.486220712485311	-0.253569330676281	0.633926710694062	0.0452757904738829	0.992206530639943	-0.465982584077262	0.130838687113107	-0.511258374551145	0.0828763341183268
D-(+)-Galactosamine	-0.283440916143132	0.222881378271691	0.194010120374784	0.385971600783887	0.274097922681844	0.128167103442229	0.477451036517917	0.0136902688186695	0.557538838824976	0.00373255127737071	0.080087802307059	0.874220297841827
2-amino-6-diazo-5-oxohexanoic acid	-0.335406122480439	0.478903942407581	-0.133494795590442	0.920421374991921	-0.685863441376122	0.0795961948226869	0.201911326889997	0.83047856462133	-0.350457318895683	0.627701289818241	-0.55236864578568	0.218478392302148
ornaline	0	1	0	1	0.354750084325339	0.399605728814142	0	1	0.354750084325339	0.399605728814142	0.354750084325339	0.399605728814142
Epirizole	0	1	0	1	0.438503947069434	0.201032732539015	0	1	0.438503947069434	0.201032732539015	0.438503947069434	0.201032732539014
1-lyso-2-alkylphosphatidylcholine	0.334566775844791	0.505825709236624	-0.042913575617118	0.998441577538077	0.322352465519124	0.538773886437185	-0.377480351461909	0.419412061101648	-0.0122143103256665	0.999924835030376	0.365266041136242	0.44988438839932
N-Fructosyl isoleucylglutamate	0	1	0.485329391568823	0.283600262871884	0.229881726075191	0.846233232351749	0.485329391568823	0.283600262871884	0.229881726075191	0.846233232351748	-0.255447665493632	0.712236172916471
itaconate(2-)	-0.17792193903728	0.88404302030462	0.142420759359833	0.913186735979289	0.0109213976224586	0.999958742564415	0.320342698397113	0.534582039040859	0.188843336659738	0.863947836366537	-0.131499361737375	0.929064659853688
7-[3-(4-fluorophenyl)-1-propan-2-yl-2-indolyl]-3,5-dihydroxy-6-heptenoic acid	-0.0628628249242923	0.993423278006682	0.325011527449191	0.441634274010143	-0.0628628249242923	0.993423278006682	0.387874352373483	0.315983683648626	0	1	-0.387874352373483	0.315983683648626
N-[2-methoxy-4-[(2-methyl-1-oxopropyl)amino]phenyl]-2-furancarboxamide	-0.46830057789701	0.0153341436732868	0.0966500027740432	0.79933886903377	-0.270506117222579	0.165375372668701	0.564950580671053	0.00317850100267647	0.197794460674431	0.524348177141928	-0.367156119996622	0.0358875287999451
isopentenyl phosphate(2-)	0.0786403774459358	0.979396575994249	0.281686590721943	0.47297952192887	0.249468677637259	0.577800137115953	0.203046213276007	0.69489432899803	0.170828300191324	0.796463150312747	-0.0322179130846834	0.997608897795318
1-dodecyl-sn-glycero-3-phosphocholine	-0.321928094887362	0.541321400708049	-0.321928094887362	0.541321400708049	-0.229510782055981	0.749370433112023	0	1	0.0924173128313812	0.983017016335703	0.0924173128313812	0.983017016335703
deca-2,4,6,8-tetraenedioic acid	-0.257867182375126	0.377871849050973	0.214791289297893	0.393601274235318	0.0631173383844534	0.966902323496948	0.47265847167302	0.0273648313953995	0.32098452075958	0.19834384189323	-0.15167395091344	0.647515580423357
