"samples"	"LV1"	"LV2"
"250317_PMA_DDA_HILIC_Sample_A1_3_Pos_nr8.mzML"	-5.29375927375184	-3.29263145164014
"250317_PMA_DDA_HILIC_Sample_A2_Pos_nr8.mzML"	-7.16104766750444	-3.68604933413094
"250317_PMA_DDA_HILIC_Sample_A3_Pos_nr8.mzML"	-6.04140767829373	-3.48561053430537
"250317_PMA_DDA_HILIC_Sample_A4_Pos_nr8.mzML"	-6.60166407822659	-3.26372551966436
"250317_PMA_DDA_HILIC_Sample_B1_Pos_nr8.mzML"	-2.544690554555	-1.11905665746094
"250317_PMA_DDA_HILIC_Sample_B2_Pos_nr8.mzML"	-3.11867037789413	-1.57342235380364
"250317_PMA_DDA_HILIC_Sample_B3_Pos_nr8.mzML"	-6.68056117103793	-3.02777170664713
"250317_PMA_DDA_HILIC_Sample_B4_Pos_nr8.mzML"	-4.12274695852111	-2.23627722126556
"250317_PMA_DDA_HILIC_Sample_C1_Pos_nr8.mzML"	-5.85595970102192	-2.12127152567378
"250317_PMA_DDA_HILIC_Sample_C2_Pos_nr8.mzML"	-6.56493198925521	-2.6811224885022
"250317_PMA_DDA_HILIC_Sample_C3_Pos_nr8.mzML"	-7.54763942361834	-3.34859688619595
"250317_PMA_DDA_HILIC_Sample_C4_Pos_nr8.mzML"	-8.56370207719425	-4.01754788452128
"250317_PMA_DDA_HILIC_Sample_D1_Pos_nr8.mzML"	-8.71462916868725	1.65595673868314
"250317_PMA_DDA_HILIC_Sample_D2_Pos_nr8.mzML"	-9.75231303313203	4.02103922729882
"250317_PMA_DDA_HILIC_Sample_D3_Pos_nr8.mzML"	-9.40213006021798	9.87973195277046
"250317_PMA_DDA_HILIC_Sample_D4_Pos_nr8.mzML"	-8.56232956912085	7.80142714196592
