formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C7H17NO3	[M - H2O + H]+	C7H16NO2+	Fatty acids	0.969	Fatty esters	0.282	Fatty acyl carnitines	0.224	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Quaternary ammonium salts	0.974	Tetraalkylammonium salts	0.976	Tetraalkylammonium salts	0.976	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Quaternary ammonium salts; 1,2-aminoalcohols; Amines; Alkanolamines; Organic cations; Organic salts; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	146.118	83	1.376	695994770771482204	695994639930165204	3	
1	C40H76NO8P	[M + Na]+	C40H76NNaO8P+	Fatty acids	0.997	Glycerophospholipids	0.999	Glycerophosphocholines	0.988	Lipids and lipid-like molecules	0.980	Glycerophospholipids	0.997	Glycerophosphocholines	0.987	Phosphatidylcholines	0.972	Phosphatidylcholines	0.972	Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	752.519	83	1.376	695994773007046400	695994640051800024	4	
1	C15H33NO	[M + H]+	C15H34NO+	Fatty acids	0.983	Fatty acyls	0.713	Sphingoid bases	0.796	Organic nitrogen compounds	0.998	Organonitrogen compounds	0.994	Aminoxides	0.584	Long-chain alkyl amine oxides	0.600	Long-chain alkyl amine oxides	0.600	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Amine oxides and derivatives; Trisubstituted amine oxides and derivatives; Aminoxides; Hydrocarbon derivatives; Long-chain alkyl amine oxides; Trialkyl amine oxides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	244.264	83	1.377	695994771648091798	695994640160851932	5	
1	C14H31NO2	[M + H]+	C14H32NO2+	Fatty acids	0.943	Spingolipids	0.735	Sphingoid bases	0.938	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.981	Alkanolamines	0.907	1,2-aminoalcohols	0.883	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Secondary alcohols; 1,2-aminoalcohols; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	246.243	84	1.405	695994771736172187	695994640274098144	6	
1	C6H8N2O2	[M - H2O + H]+	C6H7N2O+	Alkaloids	0.677	Nicotinic acid alkaloids	0.926	Pyridine alkaloids	0.926	Organoheterocyclic compounds	0.963	Pyridines and derivatives	0.959	Pyridinecarboxylic acids and derivatives	0.911	Pyridinecarboxamides	0.836	Nicotinamides	0.770	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Pyridinecarboxylic acids and derivatives; Pyridinecarboxamides; Primary carboxylic acid amides; Nicotinamides; Amines; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	123.055	85	1.415	695994773162235697	695994640425093092	7	
1	C14H31NO	[M + H]+	C14H32NO+	Fatty acids	0.996	Spingolipids	0.934	Sphingoid bases	0.989	Organic nitrogen compounds	1.000	Organonitrogen compounds	0.999	Amines	0.898	Alkanolamines	0.518	Alkanolamines	0.518	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	230.248	85	1.419	695994771417405061	695994640639002600	8	
1	C16H35NO3	[M - H2O + H]+	C16H34NO2+	Fatty acids	0.999	Fatty amides	0.758	Sphingoid bases	0.903	Organic nitrogen compounds	0.997	Organonitrogen compounds	0.994	Amines	0.594	Alkanolamines	0.588	Alkanolamines	0.588	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	272.259	85	1.425	695994771820058274	695994640819357676	9	
1	C17H37NO3	[M + H]+	C17H38NO3+	Fatty acids	0.998	Spingolipids	0.945	Sphingoid bases	0.992	Organic nitrogen compounds	0.999	Organonitrogen compounds	0.999	Amines	0.969	Alkanolamines	0.948	1,2-aminoalcohols	0.926	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Secondary alcohols; 1,2-aminoalcohols; Amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	304.285	86	1.440	695994772851857122	695994641087793136	10	
1	C16H26O5	[M + H3N + H]+	C16H30NO5+	Fatty acids	0.908	Fatty esters	0.648	Wax monoesters	0.332	Lipids and lipid-like molecules	0.778	Fatty Acyls	0.831	Fatty acid esters	0.530			Fatty acid esters	0.530	Organic compounds; Lipids and lipid-like molecules; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	316.212	90	1.500	695994781735393812	695994641251371000	12	
1	C11H16N4O3	[M + H]+	C11H17N4O3+	Alkaloids	0.643	Pseudoalkaloids (transamidation)	0.448	Purine alkaloids	0.607	Organoheterocyclic compounds	0.986	Azoles	0.618					Azoles	0.618	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	253.129	91	1.519	695994786340740037	695994641398171644	13	
