formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C12H24N2O3	[M - H2O + H]+	C12H23N2O2+	0.680	0.333	148.109	148.109	0.000	23	0.612	2.216	3.758	-79277.890		227.176	93	1.555	695994774701545385	695994641486252032	14	
1	C13H21NO5	[M - H2O + H]+	C13H20NO4+	0.996	0.333	93.082	93.082	0.000	17	0.602	3.303	3.480	-70874.917		254.137	95	1.577	695994776551233542	695994641641441288	16	
1	C11H21NO4	[M - H2O + H]+	C11H20NO3+	0.390	0.333	131.634	128.885	2.749	19	0.486	3.853	4.800	-84102.431		214.144	95	1.577	695994777729833059	695994641586915332	15	
1	C16H35NO3	[M + H]+	C16H36NO3+	0.992	0.500	53.484	49.055	4.429	20	0.786	1.866	3.089	2.307		290.270	95	1.579	695994772746999510	695994641729521676	17	
1	C6H6N2O2	[M + H]+	C6H7N2O2+	0.999	0.326	53.405	50.880	2.525	6	0.884	2.948	5.826	1.338		139.050	96	1.598	695994773149652761	695994641788241936	18	
1	C6H6N2O2	[M - H2O + H]+	C6H5N2O+	1.000	0.333	20.174	17.853	2.321	2	0.576	1.799	4.063	-148796.895		121.040	96	1.598	695994773040600836	695994641846962196	19	
1	C5H6N2O	[M - H2O + H]+	C5H5N2+	1.000	0.285	0.826	0.826	0.000	0	0.000	4.336	4.336	-193564.337		93.045	96	1.608	695994770939254371	695994641914071064	20	
1	C12H27NO	[M + H]+	C12H28NO+	0.787	0.500	59.137	56.399	2.738	16	0.395	2.097	3.709	2.122		202.217	97	1.612	695994771492902538	695994641964402716	21	
1	C44H84NO8P	[M + H]+	C44H85NO8P+	1.000	1.000	24.804	19.816	4.988	9	0.777	1.002	1.192	0.595	PC(18:1_18:1)	786.601	98	1.626	695994772046550716	695994642065066016	22	
1	C6H15NO3	[M - H2O + H]+	C6H14NO2+	1.000	0.333	71.455	69.339	2.116	10	0.630	3.125	3.876	-136335.365		132.102	98	1.630	695994771358684801	695994642119591972	23	
