"canopus_formulaRank"	"canopus_molecularFormula"	"canopus_adduct"	"canopus_precursorFormula"	"canopus_NPC#pathway"	"canopus_NPC#pathway Probability"	"canopus_NPC#superclass"	"canopus_NPC#superclass Probability"	"canopus_NPC#class"	"canopus_NPC#class Probability"	"canopus_ClassyFire#superclass"	"canopus_ClassyFire#superclass probability"	"canopus_ClassyFire#class"	"canopus_ClassyFire#class Probability"	"canopus_ClassyFire#subclass"	"canopus_ClassyFire#subclass Probability"	"canopus_ClassyFire#level 5"	"canopus_ClassyFire#level 5 Probability"	"canopus_ClassyFire#most specific class"	"canopus_ClassyFire#most specific class Probability"	"canopus_ClassyFire#all classifications"	"canopus_ionMass"	"canopus_retentionTimeInSeconds"	"canopus_retentionTimeInMinutes"	"canopus_formulaId"	"canopus_alignedFeatureId"	"canopus_mappingFeatureId"	"canopus_overallFeatureQuality"	"feature_id"
1	"C26H52NO7P"	"[M + H]+"	"C26H53NO7P+"	"Fatty acids"	1	"Glycerophospholipids"	1	"Glycerophosphocholines"	0.999	"Lipids and lipid-like molecules"	0.988	"Glycerophospholipids"	0.999	"Glycerophosphocholines"	0.998	"Lysophosphatidylcholines"	0.988	"1-acyl-sn-glycero-3-phosphocholines"	0.975	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Phosphocholines; Lysophosphatidylcholines; 1-acyl-sn-glycero-3-phosphocholines; Secondary alcohols; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	522.356	145	2.42	695994861490090112	695994651003128320	157	NA	157
1	"C20H30N2O3"	"[M + H3N + H]+"	"C20H34N3O3+"	"Alkaloids"	0.184	"Histidine alkaloids"	0.486	"Imidazole alkaloids"	0.491	"Organic acids and derivatives"	0.997	"Carboxylic acids and derivatives"	0.994	"Amino acids, peptides, and analogues"	0.931	"Amino acids and derivatives"	0.93	"N-acyl-alpha amino acids"	0.841	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Substituted imidazoles; N-acyl-alpha amino acids; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	364.26	145	2.422	695994788987346304	695994651091208704	158	NA	158
2	"C14H22O"	"[M + H3N + H]+"	"C14H26NO+"	"Terpenoids"	0.931	"Sesquiterpenoids"	0.834	"Caryophyllane sesquiterpenoids"	0.205	"Lipids and lipid-like molecules"	0.664	"Prenol lipids"	0.581	NA	NA	NA	NA	"Prenol lipids"	0.581	"Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organooxygen compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	224.201	147	2.447	695994774424721280	695994651154123392	159	NA	159
2	"C9H7NO2"	"[M + H]+"	"C9H8NO2+"	"Shikimates and Phenylpropanoids"	0.857	"Coumarins"	0.942	"Simple coumarins"	0.949	"Phenylpropanoids and polyketides"	0.386	"Coumarins and derivatives"	0.626	NA	NA	NA	NA	"Coumarins and derivatives"	0.626	"Organic compounds; Organoheterocyclic compounds; Lactones; Pyrans; Benzopyrans; Coumarins and derivatives; Organonitrogen compounds; Organooxygen compounds; Pyranones and derivatives; Benzenoids; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	162.055	147	2.448	695994803738714880	695994651208649344	160	NA	160
1	"C19H24O13"	"[M + H3N + H]+"	"C19H28NO13+"	"Terpenoids"	0.999	"Monoterpenoids"	0.998	"Iridoids monoterpenoids"	0.758	"Lipids and lipid-like molecules"	0.824	"Prenol lipids"	0.92	"Terpene glycosides"	0.886	"Iridoid O-glycosides"	0.79	"Iridoid O-glycosides"	0.79	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Hexoses; Monosaccharides; Monoterpenoids; Bicyclic monoterpenoids; Iridoids and derivatives; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Terpene glycosides; Glycosyl compounds; O-glycosyl compounds; Polyols; Methyl esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Vinylogous esters; Organic oxides; Iridoid O-glycosides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	478.155	147	2.456	695994852795297408	695994651267369600	161	NA	161
1	"C10H10O5"	"[M - H2O + H]+"	"C10H9O4+"	"Shikimates and Phenylpropanoids"	0.692	"Coumarins"	0.531	"Isocoumarins"	0.494	"Benzenoids"	0.992	"Phenols"	0.855	"Methoxyphenols"	0.781	NA	NA	"Methoxyphenols"	0.781	"Organic compounds; Alkyl aryl ethers; Phenols; Anisoles; Methoxyphenols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Phenoxy compounds; Chemical entities"	193.05	148	2.472	695994816334210560	695994651313506944	162	NA	162
1	"C10H21NO5"	"[M - H2O + H]+"	"C10H20NO4+"	"Fatty acids"	1	"Fatty esters"	1	"Fatty acyl carnitines"	1	"Lipids and lipid-like molecules"	0.995	"Fatty Acyls"	0.995	"Fatty acid esters"	0.964	"Acyl carnitines"	0.986	"Acyl carnitines"	0.986	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Quaternary ammonium salts; Carboxylic acid derivatives; Acyl carnitines; Carboxylic acid salts; Carboxylic acids; Carboxylic acid esters; Carbonyl compounds; Amines; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	218.139	149	2.479	695994793068404352	695994651368032896	163	NA	163
1	"C26H50NO7P"	"[M + H]+"	"C26H51NO7P+"	"Fatty acids"	1	"Glycerophospholipids"	1	"Glycerophosphocholines"	0.997	"Lipids and lipid-like molecules"	0.992	"Glycerophospholipids"	0.998	"Glycerophosphocholines"	0.997	"Lysophosphatidylcholines"	0.988	"1-acyl-sn-glycero-3-phosphocholines"	0.964	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Phosphocholines; Lysophosphatidylcholines; 1-acyl-sn-glycero-3-phosphocholines; Secondary alcohols; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	520.34	149	2.489	695994788437892352	695994651422558848	164	NA	164
1	"C26H48N6O6"	"[M - H2O + H]+"	"C26H47N6O5+"	"Amino acids and Peptides"	0.987	"Oligopeptides"	0.943	"Linear peptides"	0.426	"Organic acids and derivatives"	0.99	"Carboxylic acids and derivatives"	0.981	"Amino acids, peptides, and analogues"	0.968	"Peptides"	0.728	"Peptides"	0.728	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	523.359	150	2.494	695994781043333504	695994651519027840	166	NA	166
1	"C9H17NO5"	"[M - H2O + H]+"	"C9H16NO4+"	"Amino acids and Peptides"	0.748	"Small peptides"	0.825	"Aminoacids"	0.415	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	0.928	"Amino acids and derivatives"	0.926	"N-acyl-alpha amino acids"	0.536	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	202.108	150	2.498	695994801943552512	695994651565165184	167	NA	167
1	"C12H11NO4"	"[M + H3N + H]+"	"C12H15N2O4+"	"Amino acids and Peptides"	0.727	"Small peptides"	0.439	"Dipeptides"	0.046	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	0.999	"Amino acids, peptides, and analogues"	0.529	"Amino acids and derivatives"	0.522	"N-acyl-alpha amino acids and derivatives"	0.536	"Organic compounds; Amino acids, peptides, and analogues; Benzoic acids and derivatives; Benzamides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	251.103	150	2.508	695994788374977792	695994651615496832	168	NA	168
1	"C22H41N3O3"	"[M + H3N + H]+"	"C22H45N4O3+"	"Fatty acids"	0.804	"Fatty amides"	0.61	"N-acyl amines"	0.205	"Organic acids and derivatives"	0.994	"Carboxylic acids and derivatives"	0.979	"Amino acids, peptides, and analogues"	0.774	"Amino acids and derivatives"	0.77	"N-acyl-alpha amino acids"	0.578	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Carboximidamides; Organic 1,3-dipolar compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	413.349	151	2.51	695994788177845504	695994651686800000	169	NA	169
1	"C15H31NO6"	"[M + H3N + H]+"	"C15H35N2O6+"	"Fatty acids"	0.958	"Fatty amides"	0.389	"Sphingoid bases"	0.292	"Organic acids and derivatives"	0.996	"Carboxylic acids and derivatives"	0.993	"Amino acids, peptides, and analogues"	0.906	"Amino acids and derivatives"	0.903	"N-acyl-alpha amino acids and derivatives"	0.6	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Hydroxy fatty acids; Amino acids and derivatives; Hydroxy acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Beta hydroxy acids and derivatives; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	339.247	151	2.517	695994807995933696	695994651732937344	170	NA	170
1	"C18H28N2O3"	"[M + H3N + H]+"	"C18H32N3O3+"	"Fatty acids"	0.913	"Fatty amides"	0.806	"N-acyl amines"	0.8	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	0.999	"Amino acids, peptides, and analogues"	0.957	"Amino acids and derivatives"	0.956	"N-acyl-alpha amino acids"	0.922	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Substituted imidazoles; N-acyl-alpha amino acids; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	338.244	151	2.517	695994803856155392	695994651787463296	171	NA	171
6	"C18H22N6O6S2"	"[M + H]+"	"C18H23N6O6S2+"	"Amino acids and Peptides"	0.964	"β-lactams"	0.737	"Cyclamides"	0.712	"Organic acids and derivatives"	0.929	"Carboxylic acids and derivatives"	0.816	"Amino acids, peptides, and analogues"	0.687	"Amino acids and derivatives"	0.681	"Alpha amino acids and derivatives"	0.693	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Azetidines; Alcohols and polyols; Lactams; Beta lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Thioethers; Carboxylic acids; Tertiary carboxylic acid amides; Carbonyl compounds; Amines; Sulfenyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	483.112	151	2.523	695994877646549888	695994651846183552	172	NA	172
1	"C13H13NO4"	"[M + H3N + H]+"	"C13H17N2O4+"	"Amino acids and Peptides"	0.944	"Small peptides"	0.887	"Dipeptides"	0.464	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	1	"Amino acids, peptides, and analogues"	0.996	"Amino acids and derivatives"	0.996	"N-acyl-L-alpha-amino acids"	0.502	"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Phenylacetamides; N-acyl-alpha amino acids; Benzenoids; Organic oxides; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	265.119	152	2.525	695994784646241024	695994651892320896	173	NA	173
2	"C22H39N3O3"	"[M + H3N + H]+"	"C22H43N4O3+"	"Fatty acids"	0.904	"Fatty amides"	0.891	"N-acyl amines"	0.93	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	0.999	"Amino acids, peptides, and analogues"	0.988	"Amino acids and derivatives"	0.988	"N-acyl-alpha amino acids"	0.985	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Guanidines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	411.334	152	2.525	695994804690822016	695994651946846848	174	NA	174
3	"C9H9NO3"	"[M + H3N + H]+"	"C9H13N2O3+"	"Alkaloids"	0.544	"Nicotinic acid alkaloids"	0.112	"Pyridine alkaloids"	0.111	"Benzenoids"	0.721	NA	NA	NA	NA	NA	NA	"Benzenoids"	0.721	"Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	197.092	152	2.526	695994786625952768	695994652139784832	175	NA	175
1	"C19H24O13"	"[M + H3N + H]+"	"C19H28NO13+"	"Terpenoids"	0.997	"Monoterpenoids"	0.996	"Iridoids monoterpenoids"	0.731	"Lipids and lipid-like molecules"	0.705	"Prenol lipids"	0.858	"Terpene glycosides"	0.808	"Iridoid O-glycosides"	0.72	"Iridoid O-glycosides"	0.72	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Hexoses; Monosaccharides; Monoterpenoids; Bicyclic monoterpenoids; Iridoids and derivatives; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Terpene glycosides; Glycosyl compounds; O-glycosyl compounds; Polyols; Methyl esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Vinylogous esters; Organic oxides; Iridoid O-glycosides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	478.156	152	2.53	695994859489407104	695994652206893696	176	NA	176
1	"C24H48NO7P"	"[M + H]+"	"C24H49NO7P+"	"Fatty acids"	1	"Glycerophospholipids"	1	"Glycerophosphocholines"	0.999	"Lipids and lipid-like molecules"	0.987	"Glycerophospholipids"	0.998	"Glycerophosphocholines"	0.996	"Lysophosphatidylcholines"	0.99	"1-acyl-sn-glycero-3-phosphocholines"	0.98	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Phosphocholines; Lysophosphatidylcholines; 1-acyl-sn-glycero-3-phosphocholines; Secondary alcohols; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	494.325	152	2.53	695994779793430784	695994652433386112	177	NA	177
1	"C21H19F3N2O4"	"[M + Na]+"	"C21H19F3N2NaO4+"	"Amino acids and Peptides"	0.404	"Small peptides"	0.206	"Isoquinoline alkaloids"	0.043	"Organic acids and derivatives"	0.963	"Carboxylic acids and derivatives"	0.928	"Amino acids, peptides, and analogues"	0.529	"Amino acids and derivatives"	0.529	"Amino acids and derivatives"	0.529	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Alkyl fluorides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Organofluorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Alkyl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	443.119	152	2.53	695994868670738944	695994652517272192	178	NA	178
3	"C45H69NO3"	"[M + H3N + H]+"	"C45H73N2O3+"	"Fatty acids"	0.999	"Spingolipids"	0.98	"Ceramides"	0.784	"Lipids and lipid-like molecules"	0.964	"Sphingolipids"	0.671	"Ceramides"	0.626	NA	NA	"Ceramides"	0.626	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Sphingolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Ceramides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	689.559	152	2.534	695994798202232832	695994652643101312	179	NA	179
2	"C8H16BNO6S"	"[M - H2O + H]+"	"C8H15BNO5S+"	"Amino acids and Peptides"	0.976	"Small peptides"	0.986	"Aminoacids"	0.88	"Organic acids and derivatives"	0.999	"Carboxylic acids and derivatives"	0.994	"Amino acids, peptides, and analogues"	0.979	"Amino acids and derivatives"	0.978	"N-acyl-alpha amino acids"	0.503	"Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Boronic acids; Organometallic compounds; Monoalkylamines; Carboxylic acid amides; Boronic acid derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Organometalloid compounds; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Alpha amino acids; Organoboron compounds; Sulfenyl compounds; Organic salts; Fatty Acyls; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Cysteine and derivatives; Organopnictogen compounds; Alkylboranes; Monoalkylboranes; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	247.079	152	2.536	695994805760369536	695994652718598784	180	NA	180
3	"C24H41N5O5"	"[M + H3N + H]+"	"C24H45N6O5+"	"Amino acids and Peptides"	0.903	"Oligopeptides"	0.752	"Linear peptides"	0.191	"Organic acids and derivatives"	0.981	"Carboxylic acids and derivatives"	0.969	"Amino acids, peptides, and analogues"	0.895	"Amino acids and derivatives"	0.881	"N-acyl-alpha amino acids and derivatives"	0.546	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	497.343	152	2.54	695994782121269888	695994652789901952	181	NA	181
1	"C24H50NO7P"	"[M + H]+"	"C24H51NO7P+"	"Fatty acids"	0.998	"Glycerophospholipids"	1	"Glycerophosphocholines"	0.998	"Lipids and lipid-like molecules"	0.97	"Glycerophospholipids"	0.995	"Glycerophosphocholines"	0.99	"Lysophosphatidylcholines"	0.947	"1-acyl-sn-glycero-3-phosphocholines"	0.945	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Phosphocholines; Lysophosphatidylcholines; 1-acyl-sn-glycero-3-phosphocholines; Secondary alcohols; Carbonyl compounds; Glycerophosphocholines; Amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	496.339	152	2.54	695994772310791936	695994652848622208	182	NA	182
1	"C18H26N2O3"	"[M + H3N + H]+"	"C18H30N3O3+"	"Fatty acids"	0.819	"Fatty amides"	0.91	"N-acyl amines"	0.851	"Organic acids and derivatives"	1	"Carboxylic acids and derivatives"	0.999	"Amino acids, peptides, and analogues"	0.985	"Amino acids and derivatives"	0.985	"N-acyl-alpha amino acids"	0.965	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Substituted imidazoles; N-acyl-alpha amino acids; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	336.229	153	2.555	695994787238321152	695994652970257024	183	NA	183
