	msms_score	matched_peaks	feature_id	reference_id	short_inchikey
0	0.48048276607531065	7	7	217043	DBZAKQWXICEWNW
1	0.42143519485105546	7	8	230834	SYELZBGXAIXKHU
2	0.3039943812871329	7	9	206798	BTUSGZZCQZACPT
3	0.380275195140744	16	14	11191	WRLTVMQXNNNVTK
4	0.27110962205097805	16	14	55606	KJZIXCGHDVCNHL
5	0.2970217280524018	16	14	90093	OJWVHJFAQCYGMT
6	0.7182648491550969	14	14	172169	CCMDAWLYCNFDFN
7	0.3830402892085582	16	14	214020	RDNRJLZBXUHRHN
8	0.39990989471814836	16	14	238086	QXLWCTMPQRBCAQ
9	0.616154114931309	12	14	238297	ZRLVJNQOEORYIS
10	0.7286492851154055	17	14	241762	XWYXUMDVQIOAPR
11	0.23380824941289752	39	15	51141	FMWFOHCSIFNDTM
12	0.2972566332547011	20	15	156960	ZVVKRSSQGWOPIS
13	0.21659733626142988	30	16	1023	PPQKWOPRWVZOMY
14	0.27677327279023156	38	16	23275	NXCWLTILNLZQKH
15	0.22406611674868895	37	16	45299	PGVRRDBKGGPNGV
16	0.32853627557863857	20	16	50765	OXNJRYRKPZVELG
17	0.32513213645402195	17	16	72039	YLXDIVCOVKNCAO
18	0.2557642847154898	17	16	79200	UQRNRFSNYQGJGD
19	0.2615806006517699	34	16	79459	YZJBKEBOMYOVHX
20	0.25329989600294445	29	16	120452	HHIPTBVXCKBSAM
21	0.2604402476765261	35	16	120636	BAYBQEQUILSGCB
22	0.22576411561945234	36	16	131167	PFIUOLPDUMSADF
23	0.2406235676924923	41	16	148018	OXPNHQUKVWYPLJ
24	0.20791696021000922	24	16	148795	SNMFNOQKGANWHD
25	0.3060108374366254	19	16	149452	UKNFHVAQMUDAFF
26	0.26244149375701814	24	16	152129	COYZAYXESCUATO
27	0.27258577810944923	37	16	156326	FFNSTZJCKNANSZ
28	0.29787867942434054	38	16	157893	LFXMHSJWYXKODM
29	0.254286169629287	33	16	191839	LZWWHHGSGBPFAP
30	0.22242699558794846	31	16	201978	OHDVYNIZAWGLGE
31	0.2619807279303569	33	16	205425	WAALJBVPQSJUBH
32	0.29072163461915457	18	16	213385	OPCOVGPGIKKXAT
33	0.2003123719222801	30	16	230335	PXZBRZJAFRPJTG
34	0.28522784593930334	35	16	252191	FPBTZQXLGBERTH
35	0.23764192904193782	33	16	275759	PCXBVCXCFQSVMD
36	0.3965873872750513	9	17	58000	OCHZTELGZBWSJD
37	0.2023789911497124	31	29	203738	VITZNDKHSIWPSR
38	0.2296107044011601	17	31	5618	AGLLYYHKZWZSKX
39	0.3008630736502332	8	32	226346	DIMSEFDETYWFFK
40	0.564577135180881	17	32	230726	SNPLKNRPJHDVJA
41	0.3322817042653863	8	32	247426	OIQXEJQVKIZMOC
42	0.5628535536821544	7	33	221054	USYWBVZOBCQVOG
43	0.21635987650733665	15	34	20029	RMJPULKXRISLLW
44	0.3130263516198553	10	38	167259	QDBLJDVWLXPWOQ
45	0.3093687156942827	43	39	1124	PRALTWWUFVAKLH
46	0.31020083565069134	47	39	65514	JMFIGACKFZTNPF
47	0.3347200688873349	43	39	94978	CMHLWFDIUYEHTJ
48	0.35145874891119183	39	39	114834	YBRVYOIXKVKQGF
49	0.35623157701271	49	39	247854	BCADRHSLOIIDGF
50	0.3614223524504559	42	39	269407	QBJZCPGUZSTYAG
51	0.23911438201061427	10	44	39129	RGIBXDHONMXTLI
52	0.6405903786623831	10	44	39624	SMUVABOERCFKRW
53	0.3303481895404685	10	44	50638	UMFCIIBZHQXRCJ
54	0.20360799787942258	10	44	57723	LDQSHVHRBJJNDT
55	0.27523532411111507	9	44	76887	PEHSSTUGJUBZBI
56	0.2524643271601412	10	44	79750	CLECMSNCZUMKLM
57	0.21234222050174825	10	44	80006	QIRNGVVZBINFMX
58	0.462693462352811	8	44	82231	NBEFMISJJNGCIZ
59	0.3671730317660316	8	44	117280	TWWWGBSUPNNTMJ
60	0.48641260124490454	10	44	133437	GISVICWQYMUPJF
61	0.5838509875018533	10	44	163766	NTWBHJYRDKBGBR
62	0.44955218056431284	10	44	178436	YGCZTXZTJXYWCO
63	0.4378180318805566	10	44	192168	QNGNSVIICDLXHT
64	0.36462459148733684	10	44	203897	OOCCDEMITAIZTP
65	0.2180753109551013	10	44	218924	MCBGBITUMUAJMT
66	0.44955959454098976	10	44	238492	IQVAERDLDAZARL
67	0.61779451835993	10	44	256035	UIFVCPMLQXKEEU
68	0.4707076777682767	10	44	264902	LLYXUFQXCNIGDG
69	0.4304137195648214	20	48	251	GSPFUBNBRPVALJ
70	0.29865355195610355	21	48	1420	NHLJJJPFDMYXPK
71	0.6362884601147741	24	48	2260	HYJOOZMDXVIYHX
72	0.4157028054706589	15	48	6212	NZIFEBHEZIWTED
73	0.37557115448120176	17	48	7536	UQYFTKWTXJZWBK
74	0.47351796634302473	22	48	14135	GPYSDRYJCWTLMC
75	0.6109571346664595	17	48	14258	VCIBPFWQFKTGGR
76	0.6173899298603438	8	48	15204	SGKHFFAKOLMDJV
77	0.5896028446273506	19	48	17555	NRPUAIKLDGYSGD
78	0.5198534074751107	18	48	18628	JABBUGZGEVJIJX
79	0.41506710952233644	22	48	18869	SKZFWTVLHWTEAI
80	0.5694435180393512	23	48	19004	JFFZSQOMBRRERP
81	0.2480572795214733	25	48	23235	NFEPMBMLMVYLAD
82	0.5581908710777091	10	48	29590	SCQKDVLSWHOOIA
83	0.46961427492684044	16	48	30159	IXMZSQBXOWYTOS
84	0.7625624831590259	13	48	32234	WRLIWQZBEFNULP
85	0.5068035826659949	17	48	34154	YNQDIUITYOXMCO
86	0.5914527959377875	22	48	37990	AXNPQAHGUJEYEU
87	0.21009013354920977	19	48	39752	XIHMLBJFLNENLM
88	0.3777878267374037	17	48	46258	NLNHSFBYVSNFRF
89	0.3226319721218232	20	48	55420	UGDGYPOUVWCWQF
90	0.7038629742766336	7	48	55571	VKLXDXQNXFOOSQ
91	0.6871760395413848	8	48	58378	CSBUEMKIBOAHRN
92	0.6094290460590073	25	48	64850	URGUVKXDLHOJHO
