feature_id	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class
101	2.0	0.6451835	ISDB	http://www.wikidata.org/entity/Q27158112	MWRBNPKJOOWZPW-GPADLTIESA-N	InChI=1S/C41H78NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-40(43)47-37-39(38-49-51(45,46)48-36-35-42)50-41(44)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h17-20,39H,3-16,21-38,42H2,1-2H3,(H,45,46)/b19-17+,20-18+/t39-/m1/s1	CCCCCCCC/C=C/CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C/CCCCCCCC	C41H78NO8P	nan	743.546505086	18:1 (Delta9-Trans) PE, 1,2-dielaidoyl-sn-glycero-3-phosphoethanolamine, chloroform	MWRBNPKJOOWZPW	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	http://www.wikidata.org/entity/Q2557995	Aphis gossypii	1026471.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hemiptera']	['Aphididae']	['Aphidini']	['Aphis']	['Aphis gossypii']	nan	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	nan	nan	nan	nan	nan	4	3	8.080734014511108	1	23	Fatty acids	0.4	Glycerophospholipids	0.4	Glycerophosphoethanolamines	0.25
102	8.0	0.21153256	ISDB	http://www.wikidata.org/entity/Q27158892	IWXJKHSPEQSQMD-GMGFYYQASA-N	InChI=1S/C40H76NO8P/c1-6-8-10-12-14-16-18-19-20-21-23-25-27-29-31-33-40(43)49-38(37-48-50(44,45)47-35-34-41(3,4)5)36-46-39(42)32-30-28-26-24-22-17-15-13-11-9-7-2/h14,16,19-20,38H,6-13,15,17-18,21-37H2,1-5H3/b16-14-,20-19-/t38-/m1/s1	CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C	C40H76NO8P	nan	729.530855022	1-tetradecanoyl-2-(9Z,12Z-octadecadienoyl)-sn-glycero-3-phosphocholine	IWXJKHSPEQSQMD	Fatty acids	Glycerophospholipids	Glycerophosphocholines	http://www.wikidata.org/entity/Q33244	Trypanosoma brucei	494245.0	['Eukaryota']	['Unknown']	['Unknown']	['Unknown']	['Kinetoplastea']	['Unknown']	['Unknown']	['Trypanosoma']	['Trypanosoma brucei']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	2	2.8461302518844604	1	23	Fatty acids	0.4	Glycerophospholipids	0.4	Glycerophosphoethanolamines	0.25
103	4.0	0.5675769	ISDB	http://www.wikidata.org/entity/Q6813065	KWILGNNWGSNMPA-UHFFFAOYSA-N	InChI=1S/C10H10O3/c1-6-5-7-3-2-4-8(11)9(7)10(12)13-6/h2-4,6,11H,5H2,1H3	CC1Cc2cccc(O)c2C(=O)O1	C10H10O3	nan	178.06299418	Mellein	KWILGNNWGSNMPA	Shikimates and Phenylpropanoids	Coumarins	Isocoumarins	http://www.wikidata.org/entity/Q3913453	Rhytidoponera chalybaea	267008.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Ectatommini']	['Rhytidoponera']	['Rhytidoponera chalybaea']	nan	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	nan	nan	nan	nan	nan	4	1	6.770307540893555	1	44	Shikimates and Phenylpropanoids	0.75	Phenylpropanoids (C6-C3)	0.5	Cinnamic acids and derivatives	0.5
104	2.0	0.22526832	ISDB	http://www.wikidata.org/entity/Q105283400	VBPJOLZEHVDXMU-UHFFFAOYSA-N	InChI=1S/C18H29NO3/c1-4-16(20)13-11-9-7-5-6-8-10-12-14-17(21)19-15-18(2,3)22/h7-10,12,14,22H,4-6,11,13,15H2,1-3H3,(H,19,21)	CCC(=O)CCC=CCCC=CC=CC(=O)NCC(C)(C)O	C18H29NO3	nan	307.214743788	N-(2-hydroxy-2-methylpropyl)-12-oxotetradeca-2,4,8-trienamide	VBPJOLZEHVDXMU	Fatty acids	Fatty amides	N-acyl amines	http://www.wikidata.org/entity/Q1156537	Zanthoxylum ailanthoides	806818.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Sapindales']	['Rutaceae']	['Unknown']	['Zanthoxylum']	['Zanthoxylum ailanthoides']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	0	1.9010732769966125	1	-1	nan	nan	nan	nan	nan	nan
106	1.0	0.31830713	ISDB	http://www.wikidata.org/entity/Q105217849	QBJZCPGUZSTYAG-BXAMOFRCSA-N	InChI=1S/C18H33NO5/c20-12-8-10-14(22)9-6-4-2-1-3-5-7-11-15-17(23)18(24)16(13-21)19-15/h3,5,15-21,23-24H,1-2,4,6-13H2/b5-3+/t15-,16-,17-,18+/m1/s1	O=C(CCCO)CCCCC/C=C/CC[C@H]1N[C@H](CO)[C@H](O)[C@@H]1O	C18H33NO5	nan	343.235873156	Broussonetine V	QBJZCPGUZSTYAG	Alkaloids	Ornithine alkaloids	Pyrrolidine alkaloids	http://www.wikidata.org/entity/Q4097283	Broussonetia kazinoki	734176.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Rosales']	['Moraceae']	['Unknown']	['Broussonetia']	['Broussonetia kazinoki']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	3	3.7732285261154175	1	11	Alkaloids	0.6666666666666666	Ornithine alkaloids	0.6666666666666666	Pyrrolidine alkaloids	0.5555555555555556
108	5.0	0.6052418	ISDB	http://www.wikidata.org/entity/Q27889340	FHQVHHIBKUMWTI-OTMQOFQLSA-N	InChI=1S/C39H76NO8P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-39(42)48-37(36-47-49(43,44)46-34-33-40)35-45-38(41)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h17-18,37H,3-16,19-36,40H2,1-2H3,(H,43,44)/b18-17-/t37-/m1/s1	CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN	C39H76NO8P	nan	717.530855022	1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphoethanolamine	FHQVHHIBKUMWTI	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	http://www.wikidata.org/entity/Q33244	Trypanosoma brucei	494245.0	['Eukaryota']	['Unknown']	['Unknown']	['Unknown']	['Kinetoplastea']	['Unknown']	['Unknown']	['Trypanosoma']	['Trypanosoma brucei']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	3	4.920967102050781	1	23	Fatty acids	0.4	Glycerophospholipids	0.4	Glycerophosphoethanolamines	0.25
109	4.0	0.30154547	ISDB	http://www.wikidata.org/entity/Q105034231	HVFRQLAWDLEDRL-GJPJLVQDSA-N	InChI=1S/C37H68O4/c1-3-4-5-6-7-8-9-10-11-15-18-21-24-27-30-35(38)36(39)31-28-25-22-19-16-13-12-14-17-20-23-26-29-34-32-33(2)41-37(34)40/h21,24,32-33,35-36,38-39H,3-20,22-23,25-31H2,1-2H3/b24-21-/t33-,35+,36+/m0/s1	CCCCCCCCCCCC/C=C\CC[C@@H](O)[C@H](O)CCCCCCCCCCCCCCC1=C[C@H](C)OC1=O	C37H68O4	nan	576.511760656	Cohibin C	HVFRQLAWDLEDRL	Polyketides	Linear polyketides	Acetogenins	http://www.wikidata.org/entity/Q1709343	Annona muricata	303957.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Magnoliales']	['Annonaceae']	['Annoneae']	['Annona']	['Annona muricata']	nan	['Eukaryota']	nan	nan	nan	nan	nan	nan	nan	nan	1	3	3.7061818838119507	1	87	Polyketides	1.0	Linear polyketides	1.0	Acetogenins	1.0
111	5.0	0.45376652	ISDB	http://www.wikidata.org/entity/Q27140321	HBZNVZIRJWODIB-NHCUFCNUSA-N	InChI=1S/C39H74NO8P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-39(42)48-37(36-47-49(43,44)46-34-33-40)35-45-38(41)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h11,13,17-18,37H,3-10,12,14-16,19-36,40H2,1-2H3,(H,43,44)/b13-11-,18-17-/t37-/m1/s1	CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN	C39H74NO8P	nan	715.515204958	1-16:0-2-18:2-Phosphatidylethanolamine	HBZNVZIRJWODIB	Fatty acids	Glycerophospholipids	Glycerophosphoethanolamines	http://www.wikidata.org/entity/Q130888	Drosophila melanogaster	505714.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Diptera']	['Drosophilidae']	['Drosophilini']	['Drosophila']	['Drosophila melanogaster']	nan	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Diptera']	['Drosophilidae']	['Drosophilini']	['Drosophila']	['Drosophila melanogaster']	9	3	12.31506609916687	1	23	Fatty acids	0.4	Glycerophospholipids	0.4	Glycerophosphoethanolamines	0.25
113	1.0	0.6120724	ISDB	nan	nan	nan	nan	nan	nan	nan	nan	WEFOBQMXZVVPCJ	nan	nan	nan	nan	nan	nan	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	2.448289632797241	1	23	Fatty acids	0.4	Glycerophospholipids	0.4	Glycerophosphoethanolamines	0.25
114	1.0	0.61778903	ISDB	nan	nan	nan	nan	nan	nan	nan	nan	QHNWICFFSBJICC	nan	nan	nan	nan	nan	nan	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	2.471156120300293	1	23	Fatty acids	0.4	Glycerophospholipids	0.4	Glycerophosphoethanolamines	0.25
