"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","sDelta_vs_WT_p_value","sDelta_vs_WT_p_value_minus_log10","sDelta_vs_WT_fold_change","sDelta_vs_WT_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescore","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","sDelta","sDelta.pval","WT","WT.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
130,"130_170.08_0.6","NA_[130_170.08_0.6]",170.081243593018,0.64966714,0.00868067261578452,2.06144662251864,1.51635722973095,0.600609669636719,"Adermine",NA,NA,0.925575730765636,-15.9969701405377,74.8509887435308,1,"InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3","LXNHXLLTXMVWPM","C8H11NO3","[M + H]+","CC1=NC=C(C(=C1O)CO)CO","Alkaloids","Pyridine alkaloids","Nicotinic acid alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57532347087875,0.139720558882236,1.67131567616219,0.107784431137725,1.63736530665978,0.12375249500998,0.0555,0.736526946107784
138,"138_386.03_0.7","NA_[138_386.03_0.7]",386.026292241583,0.66483057,7.05618923387626e-05,4.1514297807495,1.79265300098982,0.842096256639479,"Phosaden",NA,NA,0.529547799729695,-6.29497834232682,27.9016095120803,1,"InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)","UDMBCSSLTHHNCD","C10H14N5O7P","[M + K]+","C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N","Carbohydrates","Purine nucleos(t)ides","Nucleosides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37022731569989,0.029940119760479,2.3269502762573,0.0359281437125748,2.39076645008365,0.0339321357285429,0.082,0.273453093812375
139,"139_269.16_0.7","NA_[139_269.16_0.7]",269.160908220475,0.6675923,0.0158690496841852,1.79944908013059,1.53333540159378,0.616673306448767,"Histidylleucine",NA,NA,0.439072586285251,-16.5506059471087,47.8931480366992,1,"InChI=1S/C12H20N4O3/c1-7(2)3-10(12(18)19)16-11(17)9(13)4-8-5-14-6-15-8/h5-7,9-10H,3-4,13H2,1-2H3,(H,14,15)(H,16,17)(H,18,19)","MMFKFJORZBJVNF","C12H20N4O3","[M + H]+","CC(C)CC(C(=O)O)NC(=O)C(CC1=CN=CN1)N","Amino acids and Peptides","Dipeptides","Small peptides","268.1535405","InChI=1S/C12H20N4O3/c1-7(2)3-10(12(18)19)16-11(17)9(13)4-8-5-14-6-15-8/h5-7,9-10H,3-4,13H2,1-2H3,(H,14,15)(H,16,17)(H,18,19)/t9-,10-/m0/s1","MMFKFJORZBJVNF-UWVGGRQHSA-N","MMFKFJORZBJVNF","CC(C)C[C@H](NC(=O)[C@@H](N)Cc1cnc[nH]1)C(=O)O","C12H20N4O3","Histidylleucine zwitterion","http://www.wikidata.org/entity/Q27106873","Amino acids and Peptides","Small peptides","Amino acids and Peptides","Small peptides","Aminoacids","Apis cerana","['Eukaryota']","['Metazoa']","['Arthropoda']","['Insecta']","['Hymenoptera']","['Apidae']","['Apini']","['Apis']","['Apis cerana']","nan","625771.0","http://www.wikidata.org/entity/Q306939",1,2.53549972509234,0.0199600798403194,2.47476669765833,0.0199600798403194,2.55016633479306,0.0159680638722555,0.095,0.313373253493014
146,"146_225.12_0.7","NA_[146_225.12_0.7]",225.123318323299,0.6910378,0.000820678999959248,3.08582667942981,1.72020274079836,0.782578609059512,"3-hydroxy-2-(hydroxymethyl)-2-methyl-N''-phenylpropanehydrazide",NA,NA,0.245601824686446,-211.62569021253,76.4013776077717,1,"InChI=1S/C11H16N2O3/c1-11(7-14,8-15)10(16)13-12-9-5-3-2-4-6-9/h2-6,12,14-15H,7-8H2,1H3,(H,13,16)","QXVQVTBWOPOSTG","C11H16N2O3","[M + H]+","CC(CO)(CO)C(=O)NNC1=CC=CC=C1","Alkaloids","Pyrazine and Piperazine alkaloids","Tetramate alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37022731569989,0.029940119760479,2.33644103985384,0.0379241516966068,2.42823159962482,0.0279441117764471,0.0755,0.119760479041916
148,"148_298.99_0.7","NA_[148_298.99_0.7]",298.993202549004,0.69696987,0.0068616148661305,2.16357366200242,1.61492516309707,0.691467310844691,"bmse000016",NA,NA,0.311343702120012,-23.9639312998837,11.7037012779615,0.847236180904523,"InChI=1S/C6H13O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-10H,1H2,(H2,11,12,13)","NBSCHQHZLSJFNQ","C6H13O9P","[M + K]+","C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O","Carbohydrates","Monosaccharides","Saccharides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53979941834066,0.0159680638722555,2.61775625263929,0.0139720558882236,2.61007719169076,0.0139720558882236,0.0885,0.0798403193612774
149,"149_174.9_0.7","NA_[149_174.9_0.7]",174.896093940285,0.6999878,0.000334314931632359,3.47584422591798,1.72707816633954,0.78833337970438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85021033733688,0.0798403193612774,1.85021033733688,0.06187624750499,1.98770612744662,0.0578842315369262,0.055,0.658682634730539
151,"151_123.06_0.7","NA_[151_123.06_0.7]",123.055598956531,0.7200533,0.00125077451633524,2.90282097578834,1.68584850780569,0.753474899947225,"Amide PP",NA,NA,0.369886111246946,-8.81859922985586,42.4560166645573,1,"InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)","DFPAKSUCGFBDDF","C6H6N2O","[M + H]+","C1=CC(=CN=C1)C(=O)N","Alkaloids","Pyridine alkaloids","Nicotinic acid alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.57532077260253,0.0139720558882236,2.61775625263929,0.0139720558882236,2.61579280951322,0.0139720558882236,0.0845,0.0239520958083832
154,"154_308.09_0.8","NA_[154_308.09_0.8]",308.09146916855,0.750326,0.00371554687525165,2.42997725527499,1.63680297916408,0.710880676064238,"Glutinal",NA,NA,0.61598512847638,-7.97615842587046,71.4545219132715,1,"InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)","RWSXRVCMGQZWBV","C10H17N3O6S","[M + H]+","C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N","Amino acids and Peptides","Tripeptides","Small peptides","307.083806264","InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1","RWSXRVCMGQZWBV-WDSKDSINSA-N","RWSXRVCMGQZWBV","N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O","C10H17N3O6S","(2S)-2-azaniumyl-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoate","http://www.wikidata.org/entity/Q116907","Amino acids and Peptides","Small peptides","Amino acids and Peptides","Small peptides","Aminoacids","Aspergillus fumigatus","['Eukaryota']","['Fungi']","['Ascomycota']","['Eurotiomycetes']","['Eurotiales']","['Trichocomaceae']","['Unknown']","['Aspergillus']","['Aspergillus fumigatus']","nan","278828.0","http://www.wikidata.org/entity/Q134359",3,2.14701597463324,0.031936127744511,2.24733287487747,0.031936127744511,2.1932960518294,0.0439121756487026,0.0705,0.465069860279441
157,"157_227.14_0.8","NA_[157_227.14_0.8]",227.139338018935,0.76007766,0.000366930962102469,3.43541564037567,1.73611274390407,0.795860640057581,"null",NA,NA,0.336874690480118,-224.499627532527,54.6294429345835,1,"InChI=1S/C11H20N2O4/c1-3-4-9(14)7(2)13-10(15)6-5-8(12)11(16)17/h7-8H,3-6,12H2,1-2H3,(H,13,15)(H,16,17)","PYSJONOJEKCVCZ","C11H20N2O4","[M - H2O + H]+","CCCC(=O)C(C)NC(=O)CCC(C(=O)O)N","Amino acids and Peptides","Aminoacids","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41434834807494,0.0339321357285429,2.42624841748946,0.031936127744511,2.43925637578373,0.0399201596806387,0.088,0.221556886227545
158,"158_137.05_0.8","NA_[158_137.05_0.8]",137.046024287042,0.7652039,0.000194043314581902,3.71210131551199,1.69379708389545,0.760261050825676,"Sarcine",NA,NA,0.462947634993252,-28.6391273033579,39.7321144534148,1,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)","FDGQSTZJBFJUBT","C5H4N4O","[M + H]+","C1=NC2=C(N1)C(=O)N=CN2","Alkaloids","Purine alkaloids","Pseudoalkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63736530665978,0.179640718562874,1.63736530665978,0.151696606786427,1.72300386905937,0.147704590818363,0.082,0.658682634730539
